symptom,n.  症状；征兆
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
prayer,n. 祈祷，祷告；恳求；祈祷文
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
emit,vt. 发出，放射；发行；发表
aggravate,vt. 加重；使恶化；激怒
deteriorate,"vi. 恶化，变坏
vt. 恶化"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
conservation,n. 保存，保持；保护
conservative,找不到解释
retain,vt. 保持；雇；记住
maintain,vt. 维持；继续；维修；主张；供养
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
oxygen,n.  氧气， 氧
contaminate,vt. 污染，弄脏
pollute,vt. 污染；玷污；败坏
pollution,"n. 污染
污染物"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
protect,vt. 保护，防卫；警戒
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
abundant,adj. 丰富的；充裕的；盛产
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
utilize,vt. 利用
resource,n. 资源，财力；办法；智谋
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
petrol,n. （英）汽油
petroleum,n. 石油
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
silicon,n.  硅；硅元素
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
evolution,n. 演变；进化论；进展
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
expose,vt. 揭露，揭发；使曝光；显示
exposure,n. 暴露；曝光；揭露；陈列
habitat,n.  栖息地，产地
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
rescue,"n. 营救；援救；解救
vt. 营救；援救"
disaster,n. 灾难，灾祸；不幸
disastrous,adj. 灾难性的；损失惨重的；悲伤的
threat,n. 威胁，恐吓；凶兆
destroy,vt. 破坏；消灭；毁坏
destruction,n. 破坏，毁灭；摧毁
destructive,adj. 破坏的；毁灭性的；有害的，消极的
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
cosmic,adj. 宇宙的（等于cosmical）
atmosphere,n. 气氛；大气；空气
climate,n. 气候；风气；思潮；风土
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
temperature,n. 温度；体温；气温；发烧
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
global,adj. 全球的；总体的；球形的
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
hemisphere,n. 半球
pole,找不到解释
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
glacier,n. 冰河，冰川
tropical,adj. 热带的；热情的；酷热的
mountain,n. 山；山脉
mountainous,adj. 多山的；巨大的；山一般的
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
volcano,n. 火山
cliff,n. 悬崖；绝壁
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
drought,n. 干旱；缺乏
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
acquaintance,n. 熟人；相识；了解；知道
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
spouse,"n. 配偶
vt. 和…结婚"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
tribe,n. 部落；族；宗族；一伙
ancestor,n. 始祖，祖先；被继承人
relation,n. 关系；叙述；故事；亲属关系
relationship,n. 关系；关联
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
rely,vi. 依靠；信赖
depend,vi. 依赖，依靠；取决于；相信，信赖
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
marriage,n. 结婚；婚姻生活；密切结合，合并
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
bride,n. 新娘；姑娘，女朋友
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
pregnant,adj. 怀孕的；富有意义的
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
servant,n. 仆人，佣人；公务员；雇工
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
conscious,adj. 意识到的；故意的；神志清醒的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
illusion,n. 幻觉，错觉；错误的观念或信仰
cognitive,adj. 认知的，认识的
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recognition,n. 识别；承认，认出；重视；赞誉；公认
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
intuition,n. 直觉；直觉力；直觉的知识
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
identification,n. 鉴定，识别；认同；身份证明
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptance,n. 接纳；赞同；容忍
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
visual,adj. 视觉的，视力的；栩栩如生的
envisage,vt. 正视，面对；想像
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
well-heeled,adj. 富有的；穿着考究的
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
appetite,n. 食欲；嗜好
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
fabric,n. 织物；布；组织；构造；建筑物
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
appearance,n. 外貌，外观；出现，露面
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
cape,n.  海角，岬；披肩
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
helmet,n. 钢盔，头盔
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
necklace,n. 项链
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
glove,"n. 手套
vt. 给…戴手套"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
fiber,n. 纤维；光纤（等于fibre）
alcohol,n. 酒精，乙醇
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
beverage,n. 饮料
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
canteen,n. 食堂，小卖部；水壶
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
residence,n. 住宅，住处；居住
resident,"n. 居民；住院医生
adj. 居住的；定居的"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhabitant,n. 居民；居住者
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
community,n. 社区； 群落；共同体；团体
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
surroundings,n. 环境；周围的事物
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cottage,n. 小屋；村舍；（农舍式的）小别墅
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
nursery,n. 苗圃；托儿所；温床
corridor,走廊
staircase,n. 楼梯
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
threshold,n. 入口；门槛；开始；极限；临界值
spacious,adj. 宽敞的，广阔的；无边无际的
construct,"n. 构想，概念
vt. 建造，构造；创立"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
polish,找不到解释
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
ceiling,n. 天花板；上限
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
air-conditioning,n. 空调系统；空气调节
ventilate,vt. 使通风；给…装通风设备；宣布
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
furnish,vt. 提供；供应；装备
furniture,n. 家具；设备；储藏物
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
hardware,n. 计算机硬件；五金器具
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
navigation,n. 航行；航海
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
diverse,adj. 不同的；多种多样的；变化多的
transit,"n. 运输；经过
vt. 运送
vi. 经过"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
pave,vt. 铺设；安排；作铺设之用
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
aircraft,n. 飞机，航空器
airline,"n. 航空公司；航线
adj. 航线的"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
platform,n. 平台；月台，站台；坛；讲台
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
velocity,n. 速度
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
perspective,"n. 观点；远景；透视图
adj. 透视的"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
conception,n. 怀孕；概念；设想；开始
consensus,n. 一致；舆论；合意
standpoint,n. 立场；观点
viewpoint,n. 观点，看法；视角
statement,n. 声明；陈述，叙述；报表，清单
concept,n. 观念，概念
comprehend,vt. 理解；包含；由…组成
define,vt. 定义；使明确；规定
definition,n. 定义； 清晰度；解说
allege,vt. 宣称，断言；提出…作为理由
assert,vt. 维护，坚持；断言；主张；声称
affirm,"vt. 肯定；断言
vi. 确认；断言"
proclaim,vt. 宣告，公布；声明；表明；赞扬
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remarkable,adj. 卓越的；非凡的；值得注意的
