potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
parking,"n. 停车
adj. 停车的
v. 停车（park的ing形式）"
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
sausage,n. 香肠；腊肠；装香肠的碎肉
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
possession,n. 拥有；财产；领地；自制；着迷
intently,adv. 专心地；一心一意地；心无旁骛地
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
Arctic,找不到解释
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
astronaut,n. 宇航员，航天员；太空旅行者
gravity,n. 重力，地心引力；严重性；庄严
absence,n. 没有；缺乏；缺席；不注意
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
cupboard,n. 碗柜；食橱
ceiling,n. 天花板；上限
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
occupy,vt. 占据，占领；居住；使忙碌
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
creature,n. 动物，生物；人；创造物
mosquito,n. 蚊子
microscope,n. 显微镜
cast new light on,找不到解释
maintenance,n. 维护，维修；保持；生活费用
circumstance,n. 环境，情况；事件；境遇
in the circumstances,"na. 远不及
 在这种情况下；既然如此；既然这样"
exposure,n. 暴露；曝光；揭露；陈列
radiation,n. 辐射；发光；放射物
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
in view of,"na. 鉴于；为要；在…能看见的地方；估计到才
 考虑到；由于；为了"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
furthermore,adv. 此外；而且
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
vital,adj. 至关重要的；生死攸关的；有活力的
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
universe,n. 宇宙；世界；领域
crucial,adj. 重要的；决定性的；定局的；决断的
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
astronomer,n. 天文学家
merely,adv. 仅仅，只不过；只是
administration,n. 管理；行政；实施；行政机构
agency,n. 代理，中介；代理处，经销处
comprise,vt. 包含；由…组成
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
plain to see,"一清二楚的
显而易见"
foundation,n. 基础；地基；基金会；根据；创立
lay the foundation for,"na. 给…打下基础
 给...打下基础；给奠定基础；为……奠定基础"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
tale,n. 故事；传说；叙述；流言蜚语
origin,n. 起源；原点；出身；开端
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
frequency,n. 频率；频繁
hydrogen,n.  氢
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
investment,n. 投资；投入；封锁
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
coverage,n. 覆盖，覆盖范围；新闻报道
mechanic,"n. 技工，机修工
adj. 手工的"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
incredibly,adv. 难以置信地；非常地
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
breadth,n. 宽度，幅度；宽宏
convince,vt. 说服；使确信，使信服
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
acknowledge,vt. 承认；答谢；报偿；告知已收到
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
insist,"vi. 坚持，强调
vt. 坚持，强调"
route,"n. 路线；航线；通道
vt. 按某路线发送"
financial,adj. 金融的；财政的，财务的
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
shortage,n. 缺乏，缺少；不足
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
subsequent,adj. 后来的，随后的
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
allow for,"v. 考虑到
 顾及；估计到；体谅"
kingdom,n. 王国；界；领域
astonish,vt. 使惊讶
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
tomb,"n. 坟墓；死亡
vt. 埋葬"
literary,adj. 文学的；书面的；精通文学的
extensively,adv. 广阔地；广大地
facilitate,vt. 促进；帮助；使容易
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
available,adj. 可获得的；可购得的；可找到的；有空的
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
shelf,n. 架子；搁板；搁板状物；暗礁
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
comparison,n. 比较；对照；比喻；比较关系
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
washroom,n. 洗手间；盥洗室；厕所
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
violently,adv. 猛烈地，激烈地；极端地
eagle,n. 鹰；鹰状标饰
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
meanwhile,"adv. 同时，其间
n. 其间，其时"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
chaos,n. 混沌，混乱
navy,"n. 海军
深蓝色的"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
infamy,n. 声名狼藉；恶行
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
episode,n. 插曲；一段情节；插话；有趣的事件
textile,"n. 纺织品，织物
adj. 纺织的"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
output,"n. 输出，输出量；产量；出产
vt. 输出"
cloth,"n. 布；织物；桌布
adj. 布制的"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
cottage,n. 小屋；村舍；（农舍式的）小别墅
cottage industry,"n. 家庭手工业
 家庭工业；家庭式工业；作坊似的"
heritage,n. 遗产；传统；继承物；继承权
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
civilization,n. 文明；文化
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
urgent,adj. 紧急的；急迫的
wear down,"na. 使衰弱；挫败；慢慢破坏；消蚀
 磨损；磨损，损耗；磨损耗磨磨损量"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
incredible,adj. 难以置信的，惊人的
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
violence,n. 暴力；侵犯；激烈；歪曲
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
status,n. 地位；状态；情形；重要身份
wear and tear,"na. 磨损；衰竭；伐采
 消耗；损耗；耗损"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
outcome,n. 结果，结局；成果
reef,"n. 暗礁； 矿脉；收帆
vt. 收帆；缩帆
vi. 缩帆；收帆"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
ecology,n. 生态学；社会生态学
agenda,n. 议程；日常工作事项；日程表
pagoda,n. （东方寺院的）宝塔；印度的旧金币
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
assess,vt. 评定；估价；对…征税
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
consultation,n. 咨询；磋商； 会诊；讨论会
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
division,n.  除法；部门；分配；分割；师（军队）；赛区
dam,"n.  水坝；障碍
v. 控制；筑坝"
architect,"n. 建筑师
缔造者"
operator,n. 经营者；操作员；话务员；行家
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
cooperation,n. 合作，协作； 协力
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
conservation,n. 保存，保持；保护
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
migration,n. 迁移；移民；移动
legacy,n. 遗赠，遗产
splendour,n. 显赫（等于splendor）；光彩壮丽
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
basin,n. 水池；流域；盆地；盆
intense,adj. 强烈的；紧张的；非常的；热情的
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
corridor,走廊
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
emerge,vi. 浮现；摆脱；暴露
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
take shape,"na. 成形；形成；具体化；有显著发展
 成型；初具规模；逐渐成形"
string,n. 线，弦，细绳；一串，一行
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
Buddhist,"n. 佛教徒
adj. 佛教的"
expansion,n. 膨胀；阐述；扩张物
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
milestone,n. 里程碑，划时代的事件
equator,n. 赤道
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
elsewhere,adv. 在别处；到别处
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
fee,"n. 费用；酬金；小费
vt. 付费给……"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
cigar,n. 雪茄
appointment,n. 任命；约定；任命的职位
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
scarfpin,n. 领带针，围巾夹
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
make one's fortune,发财；发迹，在社会上获得地位
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
lose contact, 失去联络；断讯；失讯
worthwhile,adj. 值得做的，值得花时间的
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
bless,vt. 祝福；保佑；赞美
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
arm in arm,"na. 臂挽着臂
 臂挽臂；手挽手；手挽手地"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
under arrest,"adv. 逮捕起来；禁闭
 被捕；被逮捕；被捕的"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
anyhow,adv. 总之；无论如何；不管怎样
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
legal,adj. 法律的；合法的；法定的；依照法律的
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
decent,adj. 正派的；得体的；相当好的
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
geophysicist,n.  地球物理学者
core,找不到解释
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
superb,adj. 极好的；华丽的；宏伟的
photographer,n. 摄影师；照相师
guilty,adj. 有罪的；内疚的
ashamed,adj. 惭愧的，感到难为情的；耻于……的
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
nephew,n. 侄子；外甥
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
disappointed,adj. 失望的，沮丧的；受挫折的
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
at the mercy of,"na. 完全受…支配
 在…支配下；完全受...支配；任由…摆布"
likewise,adv. 同样地；也
deadline,n. 截止期限，最后期限
guidance,n. 指导，引导；领导
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
virtue,n. 美德；优点；贞操；功效
integrity,n. 完整；正直；诚实；廉正
organic,adj.  有机的；组织的；器官的；根本的
starfish,n. 海星
discouraged,"v. 劝阻（discourage的过去分词）；使失去勇气
adj. 气馁的"
garbage,n. 垃圾；废物
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
bonus,n. 奖金；红利；额外津贴
weigh on sb.,找不到解释
weigh on sth.,找不到解释
jade,"n. 翡翠； 碧玉；老马
adj. 玉制的；绿玉色的
vt. 使疲倦
vi. 疲倦"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
feedback,n. 反馈；成果，资料；回复
competent,adj. 胜任的；有能力的；能干的；足够的
obtain,"vi. 获得；流行
vt. 获得"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
enterprise,n. 企业；事业；进取心；事业心
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
friction,n. 摩擦， 摩擦力
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
put yourself in sb.'s shoes,找不到解释
account for sth.,找不到解释
empathize,vt. 移情；神会
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
sympathy,n. 同情；慰问；赞同
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
precisely,adv. 精确地；恰恰
vocabulary,n. 词汇；词表；词汇量
preference,n. 偏爱，倾向；优先权
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
intention,n. 意图；目的；意向；愈合
correspond,vi. 符合，一致；相应；通信
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
tolerate,vt. 忍受；默许；宽恕
kindergarten,n. 幼儿园；幼稚园
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
fluent,adj. 流畅的，流利的；液态的；畅流的
cooperate,vi. 合作，配合；协力
cite,vt. 引用；传讯；想起；表彰
broaden one's mind,找不到解释
sushi,n. 寿司（生鱼片冷饭团）
bacon,n. 咸肉；腌肉；熏猪肉
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
tofu,n. 豆腐
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
bilingual,"n. 通两种语言的人
adj. 双语的"
kung fu,"n. 功夫（中国拳术）
v. 用功夫击打(对手)
 中国功夫；功夫片；徒手功夫"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
intervention,n. 介入；调停；妨碍
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
tribe,n. 部落；族；宗族；一伙
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
pessimistic,adj. 悲观的，厌世的；悲观主义的
Germanic,"n. 日耳曼语
adj. 德国的；德语的；日耳曼人的；日耳曼语的"
linguist,"n. 语言学家
学多种外语的人"
tendency,n. 倾向，趋势；癖好
canteen,n. 食堂，小卖部；水壶
skateboard,"n. 溜冰板
vi. 用滑板滑行"
sincerely,adv. 真诚地；由衷地，诚恳地
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
labour,n. （英国）工党
labour force,"n. （全公司或全国的）劳动力
 劳动人口；勞动人口；人力"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
earn a living, 谋生；谋生或维持生活；赚钱谋生
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
passion,n. 激情；热情；酷爱；盛怒
fond,adj. 喜欢的；温柔的；宠爱的
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
anticipate,vt. 预期，期望；占先，抢先；提前使用
status quo,"n. 现状；原来的状况
 维持现状；现状乐团；改变现状"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
lawyer,n. 律师；法学家
servant,n. 仆人，佣人；公务员；雇工
public servant,"n. 公务员；公仆
 公务人员；公职人员；人民公仆"
consultant,n. 顾问；咨询者；会诊医生
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
receptionist,n. 接待员；传达员
respective,adj. 分别的，各自的
zone,  地带、地区（德语）
comfort zone,"n. 舒适区；最佳状态
 舒适圈；舒适地带；舒适区域"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
leadership,n. 领导能力；领导阶层
weigh up,"na. 称量；称出；重得使另一头翘起来
 估量；掂量；衡量"
receipt,"n. 收到；收据；收入
vt. 收到"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
