for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
forgiveness,n. 宽恕；宽仁之心
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
puzzled,adj. 困惑的；茫然的；搞糊涂的
puzzling,adj. 使迷惑的；使莫名其妙的
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
neatly,adv. 整洁地；熟练地；灵巧地
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
holder,n. 持有人；所有人；固定器；（台、架等）支持物
invent,vt. 发明；创造；虚构
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
fisherman,n. 渔夫；渔人
sailor,n. 水手，海员；乘船者
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
sidewalk,n. 人行道
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
debt,n. 债务；借款；罪过
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
shelf,n. 架子；搁板；搁板状物；暗礁
bookcase,n.  书柜，书架
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
colorful,adj. 华美的；有趣的；富有色彩的
color-blind,adj. 色盲的
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
lantern,n. 灯笼；提灯；灯笼式天窗
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
photographer,n. 摄影师；照相师
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
southerner,n. 南方人
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
envelope,n. 信封，封皮；包膜； 包层；包迹
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
convenient,adj. 方便的；适当的；近便的；实用的
convenience,n. 便利；厕所；便利的事物
inconvenient,adj. 不便的；打扰的
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
wounded,"n. 受伤者，伤员
v. 使受伤（wound的过去分词）
adj. 受伤的"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
frankly,adv. 真诚地，坦白地
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
punishment,n. 惩罚；严厉对待，虐待
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
flu,n. 流感
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
violin,n. 小提琴；小提琴手
ugly,adj. 丑陋的；邪恶的；令人厌恶的
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
oven,n. 炉，灶；烤炉，烤箱
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
owl,n. 猫头鹰；枭；惯于晚上活动的人
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
call off,"na. 命令停止；丢手；取消(婚约)；点(名)
 放弃；叫走，叫开；转移开"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
sleepy,adj. 欲睡的；困乏的；不活跃的
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
handbag,n. 手提包
wallet,n. 钱包，皮夹
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
loneliness,n. 寂寞，孤独
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
refrigerator,n. 冰箱，冷藏库
fridge,n. 电冰箱
freezer,n. 冰箱；冷冻库；制冷工
icebox,n. 冰箱；冷藏库
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
rooster,n. 公鸡；狂妄自负的人
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
hen,n. 母鸡；女人；雌禽
fearful,adj. 可怕的；担心的；严重的
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
clever,"adj. 聪明的；机灵的；熟练的
"
ruler,n. 尺；统治者； 划线板，划线的人
eraser,n. 橡皮；擦除器； 清除器
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
onion,n. 洋葱；洋葱头
carrot,"n. 胡萝卜
诱饵"
glove,"n. 手套
vt. 给…戴手套"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
heater,n. 加热器；加热工
ankle,n. 踝关节，踝
dentist,"n. 牙科医生
牙医诊所"
squarely,adv. 直角地；诚实地；正好；干脆地；正当地
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
Australia,n. 澳大利亚，澳洲
disagree,vi. 不同意；不一致；争执；不适宜
disagreement,n. 不一致；争论；意见不同
lemon,"adj. 柠檬色的
n. 柠檬"
lemonade,n. 柠檬水
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
shorts,n. 短裤
jeans,n. 牛仔裤；工装裤
trousers,n. 裤子，长裤
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
handkerchief,n. 手帕；头巾，围巾
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
cloudy,adj. 多云的；阴天的；愁容满面的
rainy,adj. 下雨的；多雨的
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
windy,adj. 多风的，有风的；腹胀的；吹牛的
foggy,adj. 有雾的；模糊的，朦胧的
appetite,n. 食欲；嗜好
appetizer,n. 开胃物，开胃食品
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
album,n. 相簿；唱片集；集邮簿；签名纪念册
aloud,adv. 大声地；出声地
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
alphabetical,adj. 字母的； 依字母顺序的
ambulance,n.  救护车；战时流动医院
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
babysit,vi. （临时代人）照看婴孩
babysitter,n. 临时照顾幼儿者
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
panda,n. 熊猫；猫熊
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
tofu,n. 豆腐
soy,n. 大豆；酱油
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
spinach,n. 菠菜
lettuce,n.  生菜；莴苣；（美）纸币
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
chess,n. 国际象棋，西洋棋
childish,adj. 幼稚的，孩子气的
childlike,adj. 天真烂漫的；孩子似的
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
dragonfly,n.  蜻蜓
firefly,n.  萤火虫
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
dolphin,n. 海豚
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
donkey,n. 驴子；傻瓜；顽固的人
mule,n. 骡；倔强之人，顽固的人；杂交种动物
earthquake,n. 地震；大动荡
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
geography,n. 地理；地形
giraffe,n. 长颈鹿
zebra,"n.  斑马
adj. 有斑纹的"
leopard,n. 豹；美洲豹
hippo,n. 河马；吐根
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
strawberry,n. 草莓；草莓色
hobby,n. 嗜好；业余爱好
homesick,adj. 想家的；思乡病的
homeless,"adj. 无家可归的
无家可归的人
无家可归"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
politely,adv. 有礼貌地；客气地；委婉地；殷勤地
impolite,adj. 无礼的；粗鲁的
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
ketchup,n. 番茄酱
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
watermelon,n. 西瓜
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
pajamas,n. 睡衣；宽长裤
underwear,n. 内衣物
semester,n. 学期；半年
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
steak,n. 牛排；肉排；鱼排
talkative,adj. 饶舌的；多话的；多嘴的；爱说话的
terrific,adj. 极好的；极其的，非常的；可怕的
thirsty,adj. 口渴的，口干的；渴望的，热望的
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
turtle,n. 龟，甲鱼；海龟
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
waiter,n. 服务员，侍者
waitress,"n. 女服务员；女侍者
vi. 做女服务生"
server,n. 发球员；服伺者；服勤者；伺候者
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
bun,"n. 小圆面包
屁股
圆髻"
doughnut,n. 油炸圈饼；圆环图；电子回旋加速器环状真空室
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
congratulations,n. 祝贺；恭喜；贺词（congratulation的复数形式）
daydream,"n. 白日梦
vi. 做白日梦"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
kindergarten,n. 幼儿园；幼稚园
preschool,"n. 幼儿园，育幼院
adj. 未满学龄的；就学前的，入学前的"
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
