acrobatics,n. 杂技；巧妙手法
latest fashion,"un. 最时新花样
 最时髦款式；最新的流行时尚；流行潮品"
fashionable clothes,找不到解释
shoulder pad,护肩；轴肩衰减器
collar button,"na. (把硬领扣在无领衬衫上用的)领扣
 领钮；衬衫领扣"
V-neck,n. V型领
U-neck,找不到解释
Peter Pan collar, 小圆领；学院风彼得潘小圆领；彼得潘领
Peter pan,找不到解释
boat neck, 一字领
patent-leather shoes,找不到解释
sports shoes,"n. 球鞋
 运动鞋；求购运动鞋；旅游运动鞋"
canvas shoes,"na. 帆布鞋
 求购帆布鞋；加拿大求购帆布鞋；劲赛绑带黑红布鞋"
tennis shoes,"un. 网球鞋
 求购网球鞋；女网球鞋；羽球鞋"
step-in,"n. 船鞋；女内裤
adj. 把双脚伸进去即可穿的"
flat heels,找不到解释
high heels,"n. 高跟鞋
 情迷高跟鞋；情迷高铮鞋；性感高跟"
dancing club,找不到解释
express emotions,找不到解释
share same interest,找不到解释
take some dishes,找不到解释
have a picnic, 举行野餐；去野餐；吃野餐
go camping, 去野营；去露营；宿营
join clubs,找不到解释
baseball clubs, 俱乐部
basketball clubs,找不到解释
badminton clubs,找不到解释
painting clubs,找不到解释
join relaxation clubs,找不到解释
sports clubs,找不到解释
autograph,"n. 亲笔，手稿；亲笔签名
vt. 亲笔签名于…；亲笔书写"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
jewelry,n. 珠宝；珠宝类
have patience, 要有耐心；忍耐一下；耐心一点
car model, 车模；车型；汽车模型
butterfly specimens,找不到解释
background knowledge, 背景知识；背景参考资料；学门背景知识
sense of achievement, 成就感；有成就感；工作成就感
ancient coins, 古钱；古钱币；F古金币
perfume bottles,找不到解释
stuffed animals, 填充动物玩具；填充玩具；毛绒玩具
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
passion,n. 激情；热情；酷爱；盛怒
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
peace,n. 和平；平静；和睦；秩序
energy,n.  能量；精力；活力；精神
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
tolerant,adj. 宽容的；容忍的；有耐药力的
routines,n. 常规，惯例（routine的复数）；日常生活；日常活动
cultural differences, 文化差异；文化差异性；文化即便有再大的差异
local language, 本地语言；当地语言；乡土语言
cultural shock, 文化冲击；文化休克；文化震撼
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
body shaking,身振摇
sway the body,找不到解释
have a good figure,找不到解释
special training, 特别训练；特殊培训；飞行特训
arm movement,"un. 臂部动作
 划臂动作；手臂动作；摆臂动作"
dance of Xinjiang,找不到解释
Song-and-Dance Duet,找不到解释
pole dance, 钢管舞；美女们的钢管舞；钢管艳舞
fan dancing,找不到解释
waist drum dance,找不到解释
dance in Tang Dynasty,找不到解释
hip-hop,n. 街舞，即兴音乐；嘻哈
graceful dance,找不到解释
modern dance,"n. 现代舞（20 世纪初发展起来的一种摆脱芭蕾舞限制的舞蹈形式）
 摩登舞；现代舞蹈；现代舞班"
folk dance,"n. 土风舞；民间舞蹈；民间舞曲
 民族舞；民族舞蹈；民俗舞蹈"
ballroom dance,"n. 交际舞
 社交舞；舞厅舞；交谊舞"
solo dance,"un. 独舞
 单人舞；独舞舞曲；爱纱"
yangko dance,找不到解释
rumba,"n. 伦巴舞；伦巴舞曲
vt. 跳伦巴舞（等于rhumba）"
samba,"n. 桑巴舞（巴西交谊舞）
vi. 跳桑巴舞"
tango,"n. 探戈舞；探戈舞曲
vi. 跳探戈舞"
foxtrot,"n. 狐步舞
vi. 跳狐步舞"
cha-cha,"n. 恰恰舞
vi. 跳恰恰舞"
disco,n. 迪斯科舞厅；的士高
hula,n. 草裙舞（夏威夷的）；呼拉圈舞（夏威夷的）
yangko troupe,找不到解释
fancy ball,化装舞会
costume ball,"na. 化装跳舞会
 化妆舞会；化装舞会；狂欢化装舞会"
masque,n. 假面剧；化装舞会；假面剧剧本
charity dance, 慈善舞会
cheek dance,找不到解释
tap dance,"n. 踢踏舞
 躂舞；踢跶舞；轻拍舞"
grass skirt,"n. （太平洋岛屿上的跳舞者穿的）草裙
 腰蓑裙"
belly dance,"n. 肚皮舞（起源于中东地区，跳舞女郎扭动肚皮和臀部）
 埃及肚皮舞；中东肚皮舞；肚皮舞表演"
drum dance, 腰鼓舞；非洲鼓舞；鼓之舞
night club,"un. 夜总会
 夜店；舞厅；夜总会工作程序"
dance coupon,找不到解释
dancing partner, 舞伴
board of directors,"na. 理事会
 董事会；董事局；董事会成员"
president,n. 总统；董事长；校长；主席
director-general,n. 总干事；理事长；署长
special assistant of the enterprise,找不到解释
administrative deputy president,找不到解释
financial deputy president,找不到解释
the communication responsibility of the marketing center,找不到解释
demand information of customers,找不到解释
information of new products,找不到解释
situation of compatible products,找不到解释
variety plan,找不到解释
information of the market environment,找不到解释
developing situation of the industry,找不到解释
subdivision of the market,找不到解释
market positioning,"un. 市场位置
 市场定位；本案市场定位；产品定位"
large section of marketing,找不到解释
trademark plan,找不到解释
requirements planning,"un. 需求计划
 需求分析"
purchasing habits of customers,找不到解释
purchasing power of customers,找不到解释
satisfaction information of customers,找不到解释
information of ordering goods,找不到解释
customers' complaints,找不到解释
training request for the marketing employee,找不到解释
training request for the distributor,找不到解释
workers' educational level analysis,找不到解释
research and invention center,找不到解释
finalize the design,找不到解释
marketing center, 营销中心；行销中心；营销战略中心
production center,"un. 生产中心
 制作中心；产品中心；工程制作中心"
supply department,"na. 供应处；军需处
 供应部；采购部；物供部"
financial department,"un. 财政部；财务处
 财务部；财务部门；财务科"
business department,"un. 营业部
 业务部；业务部门；经营部"
design division,"un. 设计室
 设计处；设计组；设计部"
market department,找不到解释
advertisement media,找不到解释
advertisement division,找不到解释
quality department, 品质部；质量部；品管部
warehousing and transportation department,找不到解释
relevant branch factory,找不到解释
enterprise planning department,找不到解释
human resources department, 人力资源部；人力资源部门；人事部
supervision committee, 监察委；监察部；监事会
administrative department, 行政部；行政部门；行政管理部
audit department,进款检查处
dishwasher,n. 洗碗工；洗碟机
fridge,n. 电冰箱
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
toaster,n. 烤面包器，烤箱；祝酒人；烤面包的人
squeezer,n. 压榨机；压榨者；压铆机；榨汁器； 轧水机
corkscrew,"n. 螺丝锥
adj. 螺旋形的
vt. 硬拉出；探听
vi. 曲折行进"
washing machine,"n. 洗衣机
 洗涤机；清洗机；求购洗衣机"
electric appliance,"un. 电器；电气设备；电气用具
 家用电器；电器用品；家电"
wash clothes, 洗衣服；爱洗衣服的小羊；清洗衣物
save trouble,"v. 避免引起麻烦
 省事；省力；避免了麻烦"
vacuum cleaners,"na. 吸尘器
 真空吸尘器；真空清洁器；真空清洗器"
hoover,"n. 吸尘器
v. 用吸尘器打扫"
mobile phone,"n. 手机；移动电话
 手机号码；行动电话；手提电话"
digital camera,"na. 数码照相机
 数码相机；数位相机；数字相机"
intelligent robot, 智能机器人；智慧型机器人；智慧机器人
do chores, 做家务；处理琐事；干家务
computer technology,"un. 计算机技术；电脑技术
 电脑科技；计算机技术部分；计算机科技"
digital video camera, 数码摄像机；数位摄影机；数码摄影机
extractor fan,"un. 抽风风扇
 抽气扇；排气风扇；抽风机"
smoke exhaust,烟
juice extractor,"un. 液汁提取器；果汁压榨机；浸出器
 榨汁机；果汁榨汁机；榨果汁机"
food mixer,"n. 食品搅拌器
 食物搅拌器；搅拌机；食品搅拌机"
can opener,"n. 开罐器；罐头刀；罐头起子
 开罐头刀；开瓶器；开罐头器"
electric mixer,"un. 电动搅拌机
 电搅拌器；电动搅拌器；混合物以电动搅拌器"
easy to operate,"un. 易于操作
 操作简便；操作方便；方便的操作"
plug in,"v. 插入；插插头；插上
 插件；连接；插上电源"
worktop,n. 工作台，桌面；（厨房柜橱上的）操作面
kettle,n. 壶； 釜；罐；鼓
umbrella,n. 雨伞；保护伞；庇护；伞形结构
thermometer,n. 温度计；体温计
television,n. 电视，电视机；电视业
TV receiver,找不到解释
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
power cord,"n. 电源线
 电线；带线插头；电源软线"
freezer,n. 冰箱；冷冻库；制冷工
walkman,n. 随身听（商标名称）
amplifier,n.  放大器，扩大器；扩音器
loudspeaker,n. 喇叭，扬声器；扩音器
headphone,n. 双耳式耳机；头载数话器；戴在头上的收话器
earphone,n. 耳机；听筒
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
egg-beater,"un. 直升飞机；直升机
 打蛋器；打蛋器生产厂家；打蛋式踩水"
chopping board,"n. 菜板；砧板；切菜板
 案板；切菜的砧板；塑料菜板"
moulding board, 模板；模型板；擀面板
pyrex glass,找不到解释
door bell,"na. 门铃
 谐音门铃；电门铃；拼命去按蓝色门铃"
key ring,"n. 钥匙圈；钥匙环
 钥匙链；钥匙扣；密钥环"
master-key, 万能钥锁
combination lock,"n. 密码锁；暗码锁；转字锁
 号码锁；对号锁；组合锁"
sun helmet,"na. (男子用)硬壳太阳帽
 硬防晒帽；遮阳大帽；热带盔"
black-and-white TV, 黑白电视
colour TV, 彩电；彩色电视；彩色电视机
cable TV,"na. 电缆电视；公共天线
 有线电视；香港有线电视；有线电视网"
closed-circuit TV,找不到解释
picture tube,"na. 显像管
 显象管；电视机之显像管；图象管"
power switch,"n. 电源开关
 电力开关；电源开关键；电源键"
sound volume,"un. 音量；声量
 音量调节；音量大小；声音音量"
earphone jack,耳机塞孔
operation manual,"un. 操作条令；操作手册
 使用说明书；操作说明书；使用手册"
multi-system, 多进制
display clock,找不到解释
normal cycle,"un. 正常的循环；正常冲刷周期
 正旋回；正常旋回；正常循环"
wash only,找不到解释
drain button,找不到解释
spin button,找不到解释
rinse button,找不到解释
dry-cleaning,n. 干洗
water discharge pipe, 排水管
water outlet,"na. 出水口
 水出口；排水口；排水孔"
ice tray,"na. (冰箱内)制冰块的盘子
 冰格；制冰盒；制冰盘"
vegetable crisper, 蔬果保鲜室；保鲜盒
egg pocket, 蛋架
interior lamp,内部指示灯
room air conditioner,室内空气调节器;房间空调器
remote control,"n. 遥控；遥控器
 远程控制；摇控器；遥控装置"
operation display,找不到解释
heating operation mode,找不到解释
cooling operation mode,找不到解释
electric gramophone, 电唱机；电留声机
auto radio, 汽车收音机；汽车用无线电收音机
tape recorder,"n. 录音机
 磁带录音机；磁带记录器；磁带机"
cassette recorder,"un. 盒式磁带录音机
 盒式录音机；卡式录音机；磁带卡录音机"
