disastrous,adj. 灾难性的；损失惨重的；悲伤的
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
bakery,n. 面包店
journalist,n. 新闻工作者；报人；记日志者
receipt,"n. 收到；收据；收入
vt. 收到"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
viewpoint,n. 观点，看法；视角
clinical,adj. 临床的；诊所的
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
assignment,n. 分配；任务；作业；功课
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
mixture,n. 混合；混合物；混合剂
conscience,n. 道德心，良心
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
generally,adv. 通常；普遍地，一般地
stability,n. 稳定性；坚定，恒心
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
extent,n. 程度；范围；长度
hardware,n. 计算机硬件；五金器具
strategic,adj. 战略上的，战略的
similarly,adv. 同样地；类似于
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
exceed,"vt. 超过；胜过
vi. 超过其他"
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
mayor,n. 市长
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
opportunity,n. 时机，机会
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
rectify,vt. 改正；精馏；整流
commemorate,vt. 庆祝，纪念；成为…的纪念
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
ignorance,n. 无知，愚昧；不知，不懂
nourish,vt. 滋养；怀有；使健壮
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
criterion,n. （批评判断的）标准；准则；规范；准据
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
credentials,"n.  证书；文凭；信任状（credential的复数）
v. 得到信用；授…以证书（credential的三单形式）"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
axis,n. 轴；轴线；轴心国
resource,n. 资源，财力；办法；智谋
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
rumour,"n. 谣言
vt. 传闻"
enclose,vt. 围绕；装入；放入封套
category,n. 种类，分类； 范畴
ensure,vt. 保证，确保；使安全
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
fragrance,n. 香味，芬芳
hysterical,adj. 歇斯底里的；异常兴奋的
precedent,"n. 先例；前例
adj. 在前的；在先的"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
constrain,vt. 驱使；强迫；束缚
allegedly,adv. 依其申述；据说，据称
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
leftist,"n. 左派；急进派；左翼的人；左撇子
adj. 左派的；左撇子的；急进派的"
elasticity,n. 弹性；弹力；灵活性
mediator,n. 调停者；传递者；中介物
gland,"n. 腺
密封压盖"
debris,n. 碎片，残骸
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
overt,adj. 明显的；公然的；蓄意的
detach,vt. 分离；派遣；使超然
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
assertive,adj. 肯定的；独断的；坚定而自信的
snapshot,"n. 快照，快相；急射，速射；简单印象
vt. 给…拍快照
vi. 拍快照"
glaze,"n. 釉；光滑面
vt. 装以玻璃；上釉于
vi. 变呆滞；变得光滑"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
lesbian,"adj.  女同性恋的
n. 女同性恋者"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
ass,n. 屁股；驴子；蠢人
barometer,n.  气压计；晴雨表；显示变化的事物
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
alley,n. 小巷；小路；小径
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
morale,n. 士气，斗志
devastate,vt. 毁灭；毁坏
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
stance,n. 立场；姿态；位置；准备击球姿势
peck,"n. 许多；配克（容量单位，等于2加仑）；啄痕；快速轻吻
vt. 啄食；扔
vi. 啄食；扔石头；吹毛求疵"
practitioner,n. 开业者，从业者，执业医生
cockpit,n. 驾驶员座舱；战场
asylum,n. 庇护；收容所，救济院
auditorium,n. 礼堂，会堂；观众席
flirt,"n. 急扔；调情的人；卖弄风骚的人
vt. 挥动；忽然弹出
vi. 调情；玩弄；轻率地对待；摆动"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
gaol,"n. 监狱
vt. 监禁"
urine,n. 尿
idol,n. 偶像，崇拜物；幻象；谬论
afloat,"adj. 在海上的；飘浮的；浸满水的；在传播的
adv. 在海上；飘浮著；浸满水"
assorted,"v. 把…分等级；把…归为一类（assort的过去分词）
adj. 组合的；各种各样的；混杂的"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
centimetre,n. 厘米；公分
transistor,n. 晶体管（收音机）
illusion,n. 幻觉，错觉；错误的观念或信仰
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
feasible,adj. 可行的；可能的；可实行的
petroleum,n. 石油
revenue,n. 税收，国家的收入；收益
eagle,n. 鹰；鹰状标饰
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
investment,n. 投资；投入；封锁
reputation,n. 名声，名誉；声望
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
consideration,n. 考虑；原因；关心；报酬
privilege,"n. 特权；优待
vt. 给与…特权；特免"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
request,"n. 请求；需要
vt. 要求，请求"
embassy,n. 大使馆；大使馆全体人员
majority,n. 多数；成年
appointment,n. 任命；约定；任命的职位
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
assumption,n. 假定；设想；担任；采取
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
tendency,n. 倾向，趋势；癖好
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
solitude,n. 孤独；隐居；荒僻的地方
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
notion,n. 概念；见解；打算
adequate,adj. 充足的；适当的；胜任的
silicon,n.  硅；硅元素
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
radar,n.  雷达，无线电探测器
provoke,vt. 驱使；激怒；煽动；惹起
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
intuition,n. 直觉；直觉力；直觉的知识
proficiency,n. 精通，熟练
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
region,n. 地区；范围；部位
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
bacterium,n.  细菌；杆菌属
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
profound,adj. 深厚的；意义深远的；渊博的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
texture,n. 质地；纹理；结构；本质，实质
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
psychological,adj. 心理的；心理学的；精神上的
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
enhance,vt. 提高；加强；增加
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
tolerance,n. 公差；宽容；容忍；公差
tragic,adj. 悲剧的；悲痛的，不幸的
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
rectangular,adj. 矩形的；成直角的
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
segregate,vt. 使隔离；使分离；在…实行种族隔离
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
gloom,n. 昏暗；阴暗
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
erroneous,adj. 错误的；不正确的
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
cohesion,n. 凝聚；结合； 内聚力
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
tactful,adj. 机智的；圆滑的；老练的
speculative,adj. 投机的；推测的；思索性的
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
onward,"adj. 向前的；前进的
adv. 向前；在前面"
planetary,adj. 行星的
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
inclusive,adj. 包括的，包含的
jeopardise,vt. 危及（等于jeopardize）；使…受危险
wed,"vt. 与...结婚；娶；嫁
vi. 结婚；娶；嫁"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
comprehend,vt. 理解；包含；由…组成
footprint,n. 足迹；脚印
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
cricket,n. 板球，板球运动；蟋蟀
turtle,n. 龟，甲鱼；海龟
mammal,n.  哺乳动物
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
dinosaur,n. 恐龙；过时、落伍的人或事物
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
gravitation,n. 重力；万有引力；地心吸力
antonym,n.  反义词
psychiatry,n. 精神病学；精神病治疗法
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
humiliate,vt. 羞辱；使…丢脸；耻辱
fuck,"n. 性交；杂种；一丁点儿
vt. 与...性交；诅咒；欺骗
int. 他妈的
vi. 性交；鬼混"
foe,n. 敌人；反对者；危害物
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
underwear,n. 内衣物
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
besiege,vt. 围困；包围；烦扰
jack,"n. 千斤顶； 插座；男人
adj. 雄的
vt. 增加；提醒；抬起；用千斤顶顶起某物"
lucrative,adj. 有利可图的，赚钱的；合算的
