enjoyable,adj. 快乐的；有乐趣的；令人愉快的
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
overcoat,n. 大衣，外套
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
footstep,n. 脚步；脚步声；足迹
wherever,"conj. 无论在哪里；无论什么情况下
adv. 无论什么地方；究竟在哪里"
in sight,"na. 看得见；“in/within sight”的变体
 在望；在视线之内；在视线内"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
wish for,"v. 希望；想要
 愿望；希望得到；盼望"
darkness,n. 黑暗；模糊；无知；阴郁
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
 伸出；伸出手；伸出双手"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
crossroads,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
anxious,adj. 焦虑的；担忧的；渴望的；急切的
firmly,adv. 坚定地，坚决地；坚固地，稳固地
grateful,adj. 感谢的；令人愉快的，宜人的
helper,n. 助手，帮手
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
relief,n. 救济；减轻，解除；安慰；浮雕
lorry,n. （英）卡车； 货车；运料车
pavement,"n. 人行道
路面"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
analyse,vt. 分析；分解；细察
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
ignore,vt. 驳回诉讼；忽视；不理睬
pole,找不到解释
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
disability,n. 残疾；无能；无资格；不利条件
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
jewellery,n. 珠宝（等于jewelry）
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
pigeon,n. 鸽子
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
be made up of, 由…构成；组成；由…组成
vocabulary,n. 词汇；词表；词汇量
nowadays,"adv. 现今；时下
n. 当今"
Celtic,"n. 凯尔特语（等于Keltic）
adj. 凯尔特人的；凯尔特语的"
Germanic,"n. 日耳曼语
adj. 德国的；德语的；日耳曼人的；日耳曼语的"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
Angle,找不到解释
Saxon,"n. 撒克逊人
adj. 撒克逊人的"
occupy,vt. 占据，占领；居住；使忙碌
consist,vi. 由…组成；在于；符合
mixture,n. 混合；混合物；混合剂
name after,"na. name for 用(别人,别物的名字)命名
 用…的名字命名；以……命名；用…的名字作名字"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
Viking,找不到解释
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
contribution,n. 贡献；捐献；投稿
Norman,找不到解释
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
take control of, 控制；掌管；取得对……的控制
the Norman Conquest, 诺曼征服；诺曼底征服；诺曼征服时间
lead to,"na. 通向
 导致；引起；通往"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
entire,adj. 全部的，整个的；全体的
servant,n. 仆人，佣人；公务员；雇工
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
therefore,adv. 因此；所以
mutton,n. 羊肉
bacon,n. 咸肉；腌肉；熏猪肉
plural,"n. 复数
adj. 复数的"
high-class,adj. 高级的；一流的
mother tongue,"n. 母语；本国语
 本族语；本国语言；母语式"
the Renaissance, 文艺复兴；文艺复兴时期；文艺复兴运动
Latin,"adj. 拉丁语的；拉丁人的
n. 拉丁语；拉丁人"
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
distinction,n. 区别；差别；特性；荣誉、勋章
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
racial,adj. 种族的；人种的
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
embarrass,vt. 使局促不安；使困窘；阻碍
backwards,adv. 倒；向后；逆
conclusion,n. 结论；结局；推论
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
mistaken,"adj. 错误的；弄错的；被误解的
v. 弄错（mistake的过去分词）"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
writing,"n. 书写；作品；著作； 笔迹
v. 书写（write的ing形式）"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
appearance,n. 外貌，外观；出现，露面
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
simplify,vt. 简化；使单纯；使简易
as a whole,"na. (作为一个)整体
 作为一个整体；总体上；作为整体"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
indicate,vt. 表明；指出；预示；象征
shortcoming,n. 缺点；短处
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
eyesight,n. 视力；目力
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
convenient,adj. 方便的；适当的；近便的；实用的
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
practical,adj. 实际的；实用性的
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
typewriter,n. 打字机
version,n. 版本；译文；倒转术
civilization,n. 文明；文化
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
BC,abbr. 公元前（Before Christ）
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
take over,"na. 接管；继承
 接收；接任；接替"
volcano,n. 火山
AD,找不到解释
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
lava,n. 火山岩浆；火山所喷出的熔岩
ash,n. 灰；灰烬
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
unfortunate,adj. 不幸的；令人遗憾的；不成功的
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
researcher,n. 研究员
true-to-life,逼真的
disaster,n. 灾难，灾祸；不幸
destroy,vt. 破坏；消灭；毁坏
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
gradually,adv. 逐步地；渐渐地
sandstorm,n.  沙暴；大风沙
scholar,n. 学者；奖学金获得者
cultural,adj. 文化的；教养的
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
remains,n. 残余；遗骸
beneath,"prep. 在…之下
adv. 在下方"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
workshop,n. 车间；研讨会；工场；讲习班
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
wooden,adj. 木制的；僵硬的，呆板的
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
historical,adj. 历史的；史学的；基于史实的
solution,n. 解决方案；溶液；溶解；解答
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
audience,n. 观众；听众；读者；接见；正式会见；拜会
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
republic,n. 共和国；共和政体
chairman,n. 主席，会长；董事长
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
navy,"n. 海军
深蓝色的"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
airfield,n. 飞机场
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
sailor,n. 水手，海员；乘船者
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
aircraft,n. 飞机，航空器
carrier,n.  载体；运送者；带菌者；货架
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
in memory of,"na. 纪念…
 为纪念；为了纪念；以纪念"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
rise up against,找不到解释
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
stand in one's path,找不到解释
march,n. 三月
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
