source,n. 来源；水源；原始资料
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
machinery,n. 机械；机器；机构；机械装置
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
inhabitant,n. 居民；居住者
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
chimpanzee,n.  黑猩猩
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
expansion,n. 膨胀；阐述；扩张物
solution,n. 解决方案；溶液；溶解；解答
portray,vt. 描绘；扮演
parlor,"n. 客厅；会客室；业务室
adj. 客厅的"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
distinct,adj. 明显的；独特的；清楚的；有区别的
comet,n.  彗星
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
basis,n. 基础；底部；主要成分；基本原则或原理
reproduction,n. 繁殖，生殖；复制；复制品
desertification,n. （土壤）荒漠化；沙漠化（等于desertization）
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
tulip,n. 郁金香
textile,"n. 纺织品，织物
adj. 纺织的"
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
readily,adv. 容易地；乐意地；无困难地
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
migration,n. 迁移；移民；移动
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
habitat,n.  栖息地，产地
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
California,n. 加利福尼亚（美国一个州）
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
avoid,vt. 避免；避开，躲避；消除
accurate,adj. 精确的
technological,adj. 技术的；工艺的
settlement,n. 解决，处理； 结算；沉降；殖民
attractive,adj. 吸引人的；有魅力的；引人注目的
typical,adj. 典型的；特有的；象征性的
vitamin,n.  维生素； 维他命
timberline,n. 树带界线
pueblo,n. 印第安人村庄；普韦布洛（美国科罗拉多州中部一城市）
pollutant,n. 污染物
novel,"adj. 新奇的；异常的
n. 小说"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
independence,n. 独立性，自立性；自主
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
bacteria,n.  细菌
considerable,adj. 相当大的；重要的，值得考虑的
violin,n. 小提琴；小提琴手
vessel,n. 船，舰； 脉管，血管；容器，器皿
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
prehistoric,adj. 史前的；陈旧的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
consequence,n. 结果；重要性；推论
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
chemical,"n. 化学制品，化学药品
adj. 化学的"
belong,vi. 属于，应归入；居住；适宜；应被放置
accumulate,"vt. 积攒
vi. 累积；积聚"
action,n. 行动；活动；功能；战斗；情节
status,n. 地位；状态；情形；重要身份
presence,n. 存在；出席；参加；风度；仪态
ware,"n. 陶器，器皿；制品；器具；货物
vt. 留心；小心"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
pottery,n. 陶器；陶器厂；陶器制造术
myth,n. 神话；虚构的人，虚构的事
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
geological,adj. 地质的，地质学的
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
exist,vi. 存在；生存；生活；继续存在
destructive,adj. 破坏的；毁灭性的；有害的，消极的
destruction,n. 破坏，毁灭；摧毁
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
concept,n. 观念，概念
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
apparently,adv. 显然地；似乎，表面上
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
construct,"n. 构想，概念
vt. 建造，构造；创立"
adaptation,n. 适应；改编；改编本，改写本
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
tropical,adj. 热带的；热情的；酷热的
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
prove,"vi. 证明是
vt. 证明；检验；显示"
pole,
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
permanently,adv. 永久地，长期不变地
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
tribe,n. 部落；族；宗族；一伙
physic,"n. 医学；药品（特指泻药）
vt. 给…服药；治愈"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
health,n. 健康；卫生；保健；兴旺
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
explosion,n. 爆炸；爆发；激增
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
electron,n. 电子
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
depict,vt. 描述；描画
column,n. 纵队，列；专栏；圆柱，柱形物
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
atom,n. 原子
aurora,n.  极光；曙光
functional,adj. 功能的
competitor,n. 竞争者，对手
geologist,n. 地质学家，地质学者
whereas,conj. 然而；鉴于；反之
Venus,n.  金星；维纳斯（爱与美的女神）
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
universe,n. 宇宙；世界；领域
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
topic,n. 主题（等于theme）；题目；一般规则；总论
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
rite,n. 仪式；惯例，习俗；典礼
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
president,n. 总统；董事长；校长；主席
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
livestock,n. 牲畜；家畜
introductory,adj. 引导的，介绍的；开端的
financial,adj. 金融的；财政的，财务的
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
ecological,adj. 生态的，生态学的
distribution,n. 分布；分配
cucumber,n. 黄瓜；胡瓜
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
academy,n. 学院；研究院；学会；专科院校
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
authority,n. 权威；权力；当局
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
productivity,n. 生产力；生产率；生产能力
theorist,n. 理论家
sedimentary,adj. 沉淀的
majority,n. 多数；成年
structural,adj. 结构的；建筑的
container,n. 集装箱；容器
essentially,adv. 本质上；本来
atmospheric,adj. 大气的，大气层的
economically,adv. 经济地；在经济上；节俭地
application,n. 应用；申请；应用程序；敷用
contribution,n. 贡献；捐献；投稿
establishment,n. 确立，制定；公司；设施
climatic,adj. 气候的；气候上的；由气候引起的；受气候影响的
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
distinction,n. 区别；差别；特性；荣誉、勋章
consequently,adv. 因此；结果；所以
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
cultivation,n. 培养；耕作；耕种；教化；文雅
consumption,n. 消费；消耗；肺痨
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
virtue,n. 美德；优点；贞操；功效
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
symbol,n. 象征；符号；标志
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
series,n. 系列，连续； 串联；级数；丛书
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
philosophy,n. 哲学；哲理；人生观
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
nutritional,adj. 营养的；滋养的
magnetic,adj. 地磁的；有磁性的；有吸引力的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
investment,n. 投资；投入；封锁
interpret,"vi. 解释；翻译
vt. 说明；口译"
interpretation,n. 解释；翻译；演出
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
imitate,vt. 模仿，仿效；仿造，仿制
glaze,"n. 釉；光滑面
vt. 装以玻璃；上釉于
vi. 变呆滞；变得光滑"
geometric,adj. 几何学的； 几何学图形的
furniture,n. 家具；设备；储藏物
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
encourage,vt. 鼓励，怂恿；激励；支持
durable,"n. 耐用品
adj. 耐用的，持久的"
crucial,adj. 重要的；决定性的；定局的；决断的
molecule,n.  分子；微小颗粒，微粒
conclusion,n. 结论；结局；推论
collectively,adv. 共同地，全体地
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
