abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
loss,n. 减少；亏损；失败；遗失
loyalty,n. 忠诚；忠心；忠实；忠于…感情
lung,n. 肺；呼吸器
membership,n. 资格；成员资格；会员身份
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
mixture,n. 混合；混合物；混合剂
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
newsletter,n. 时事通讯
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
path,n. 道路；小路；轨道
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
pollute,vt. 污染；玷污；败坏
presence,n. 存在；出席；参加；风度；仪态
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
privacy,n. 隐私；秘密；隐居；隐居处
privilege,"n. 特权；优待
vt. 给与…特权；特免"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
prohibit,vt. 阻止，禁止
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
remind,vt. 提醒；使想起
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
reputation,n. 名声，名誉；声望
require,vt. 需要；要求；命令
responsible,adj. 负责的，可靠的；有责任的
revenue,n. 税收，国家的收入；收益
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
rumour,"n. 谣言
vt. 传闻"
secretary,n. 秘书；书记；部长；大臣
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slippery,adj. 滑的；狡猾的；不稳定的
solemn,adj. 庄严的，严肃的；隆重的，郑重的
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
string,n. 线，弦，细绳；一串，一行
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
subtract,vt. 减去；扣掉
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
tolerant,adj. 宽容的；容忍的；有耐药力的
tropical,adj. 热带的；热情的；酷热的
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
absolutely,adv. 绝对地；完全地
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
agriculture,n. 农业；农耕；农业生产；农艺，农学
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
architecture,n. 建筑学；建筑风格；建筑式样；架构
artistic,adj. 艺术的；风雅的；有美感的
aspect,n. 方面；方向；形势；外貌
automobile,"n. 汽车
vt. 驾驶汽车
"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
bacon,n. 咸肉；腌肉；熏猪肉
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
basic,"n. 基础；要素
adj. 基本的；基础的"
bathroom,n. 浴室；厕所；盥洗室
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
behaviour,n. 行为；习性；运行状况（=behavior）
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
century,n. 世纪，百年；（板球）一百分
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
colony,n. 殖民地；移民队；种群；动物栖息地
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
dangerous,"adj. 危险的
危险地"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
degree,n. 程度，等级；度；学位；阶层
describe,vt. 描述，形容；描绘
detect,vt. 察觉；发现；探测
difference,n. 差异；不同；争执
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
Easter,n. 复活节
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
election,n. 选举；当选；选择权；上帝的选拔
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
encourage,vt. 鼓励，怂恿；激励；支持
equipment,n. 设备，装备；器材
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
exceed,"vt. 超过；胜过
vi. 超过其他"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
flu,n. 流感
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
fountain,n. 喷泉，泉水；源泉
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
fully,adv. 充分地；完全地；彻底地
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
grammar,n. 语法；语法书
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
hardworking,"adj. 努力工作的；不辞辛劳的，苦干的
v. 努力工作（hardwork的ing形式）"
heavily,adv. 沉重地；猛烈地；沉闷地
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
hobby,n. 嗜好；业余爱好
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
housekeeping,n. 家政；家务管理；家用开支
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
ignore,vt. 驳回诉讼；忽视；不理睬
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
income,n. 收入，收益；所得
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
involve,vt. 包含；牵涉；使陷于；潜心于
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
jewellery,n. 珠宝（等于jewelry）
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
laboratory,n. 实验室，研究室
lane,n. 小巷； 航线；车道；罚球区
laser,n. 激光
legal,adj. 法律的；合法的；法定的；依照法律的
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
likewise,adv. 同样地；也
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
