have,"aux. 已经
vt. 有；让；拿；从事；允许"
scientific,adj. 科学的，系统的
source,n. 来源；水源；原始资料
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
emotion,n. 情感；情绪
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
path,n. 道路；小路；轨道
scene,n. 场面；情景；景象；事件
duty,n. 责任； 关税；职务
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
chemical,"n. 化学制品，化学药品
adj. 化学的"
exactly,adv. 恰好地；正是；精确地；正确地
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
youth,n. 青年；青春；年轻；青少年时期
application,n. 应用；申请；应用程序；敷用
belief,n. 相信，信赖；信仰；教义
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
freedom,n. 自由，自主；直率
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
talent,n. 才能；天才；天资
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
disappointed,adj. 失望的，沮丧的；受挫折的
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
apartment,n. 公寓；房间
award,"n. 奖品；判决
vt. 授予；判定"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
campus,n. （大学）校园；大学，大学生活；校园内的草地
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
achievement,n. 成就；完成；达到；成绩
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
financial,adj. 金融的；财政的，财务的
literature,n. 文学；文献；文艺；著作
practical,adj. 实际的；实用性的
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
suitable,adj. 适当的；相配的
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
income,n. 收入，收益；所得
request,"n. 请求；需要
vt. 要求，请求"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
ignore,vt. 驳回诉讼；忽视；不理睬
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
audience,n. 观众；听众；读者；接见；正式会见；拜会
editor,n. 编者，编辑；社论撰写人；编辑装置
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
response,n. 响应；反应；回答
addition,n. 添加； 加法；增加物
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
beauty,n. 美；美丽；美人；美好的东西
creative,adj. 创造性的
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
gradually,adv. 逐步地；渐渐地
neighbourhood,n. 邻近；周围；邻居关系；附近一带
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
treatment,n. 治疗，疗法；处理；对待
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
eventually,adv. 最后，终于
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
nation,n. 国家；民族；国民
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
thinking,"n. 思考；思想；想法；意见；见解
v. 思考（think的现在分词）
adj. 思考的；思想的；有理性的；好思考的"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
frequently,adv. 频繁地，经常地；时常，屡次
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
instruction,n. 指令，命令；指示；教导；用法说明
limited,"adj. 有限的
n. 高级快车"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
tradition,n. 惯例，传统；传说
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
agreement,n. 协议；同意，一致
apologise,vi. 道歉（等于apologize）
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
belong,vi. 属于，应归入；居住；适宜；应被放置
construction,n. 建设；建筑物；解释；造句
manner,n. 方式；习惯；种类；规矩；风俗
pole,
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
symbol,n. 象征；符号；标志
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
decade,n. 十年，十年期；十
disaster,n. 灾难，灾祸；不幸
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
network,n. 网络；广播网；网状物
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
technique,n. 技巧，技术；手法
citizen,n. 公民；市民；老百姓
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
economic,adj. 经济的，经济上的；经济学的
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
insect,n. 昆虫；卑鄙的人
insist,"vi. 坚持，强调
vt. 坚持，强调"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
comprehension,n. 理解；包含
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
