ban,"n. 禁令，禁忌
vt. 禁止，取缔"
allow for,"v. 考虑到
 顾及；估计到；体谅"
consolidation,n. 巩固；合并；团结
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
overcharged,v. 对…要价过高( overcharge的过去式和过去分词 )
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
relief,n. 救济；减轻，解除；安慰；浮雕
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
arbiter,n.  仲裁者；裁决人
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
acquire,vt. 获得；取得；学到；捕获
transaction,n. 交易；事务；办理；会报，学报
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
a round of,
keep up with,"na. 不落后
 跟上；赶上；紧跟"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
inevitable,adj. 必然的，不可避免的
optional,"adj. 可选择的，随意的
n. 选修科目"
failing,"prep. 如果没有…
n. 失败；缺点，过失；弱点
v. 失败；不及格（fail的ing形式）
adj. 失败的"
clinical,adj. 临床的；诊所的
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
cataract,"n.  白内障；大瀑布；暴雨，洪水；奔流
vt. 倾注"
procedure,n. 程序，手续；步骤
unimaginable,adj. 不可思议的；难以想像的
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
unsustainable,adj. 无法支撑的；不可证实的；不能成立的
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
finite,"n. 有限之物
adj. 有限的；限定的"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
infirm,adj. 衰弱的；意志薄弱的；不坚固的
energetic,adj. 精力充沛的；积极的；有力的
routinely,adv. 例行公事地；老一套地
dazzlingly,adv. 耀眼地；灿烂地
living proof, 生存证明；活生生的证据；活证据
ineffective,adj. 无效的，失效的；不起作用的
overfund, 对…提供充足资金；过度融资
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
thoughtful,adj. 深思的；体贴的；关切的
insatiable,adj. 贪得无厌的；不知足的
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
anthropology,"n. 人类学
人类学家"
encompass,vt. 包含；包围，环绕；完成
derive from,"v. 来自；起源于
 衍生；由来；来源于"
enquiry,n.  询问， 询盘
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
sociology,n. 社会学；群体生态学
subfield,n.  子域；分区
specialization,n. 专门化；特殊化；特化作用
oriented,"adj. 导向的；定向的；以…为方向的
v. 调整；使朝向（orient的过去分词）；确定…的方位"
extensive,adj. 广泛的；大量的；广阔的
distinctly,adv. 明显地；无疑地，确实地
field-study,
anthropological,adj. 人类学的；人类学上的
profound,adj. 深厚的；意义深远的；渊博的
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
implicit,adj. 含蓄的；暗示的；盲从的
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
immense,adj. 巨大的，广大的；无边无际的；非常好的
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
delinquency,n. 行为不良，违法犯罪；失职，怠工
contributing,"v. 捐献（contribute的ing形式）
adj. 贡献的；起作用的"
penalize,vt. 处罚；处刑；使不利
misdeed,n. 罪行；犯罪
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
socioeconomic,adj. 社会经济学的
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
adequate,adj. 充足的；适当的；胜任的
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
gainful,adj. 唯利是图的；有利益的；赚钱的
discontent,"n. 不满
adj. 不满的
vt. 使不满"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
supervision,n. 监督，管理
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
causal,"n. 表示原因的连词
adj. 因果关系的；有原因的"
establish,"vi. 植物定植
vt. 建立；创办；安置"
hunt for,"na. 追猎；搜寻
 寻找；搜索；探求"
database,n. 数据库，资料库
interactive,adj. 交互式的；相互作用的
criteria,n. 标准，条件（criterion的复数）
matching,"adj. 相配的；一致的；相称的
n. 匹配
v. 使…相配（match的ing形式）"
notification,n. 通知；通告； 告示
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
in-house,"adj. 内部的
adv. 内部地"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
inefficient,adj. 无效率的，效率低的；无能的
drawback,n. 缺点，不利条件；退税
counseling,"n. 咨询服务
v. 建议；劝告；商讨（counsel的ing形式）"
implicit,adj. 含蓄的；暗示的；盲从的
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
sign up,"na. 同“sign”
 注册；报名；签约"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
compensation,n. 补偿；报酬；赔偿金
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
look out for,"v. 照料；寻求；期待；提防
 当心；留心；寻找"
unfairness,n. 不公平，不公正；不正当
discrimination,n. 歧视；区别，辨别；识别力
condemn,vt. 谴责；判刑，定罪；声讨
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
thrive,vi. 繁荣，兴旺；茁壮成长
alphabetism,n. (作符号的)字母使用(如使用一组字母作为笔名或署名)
refer to,"v. 查阅；提到
 参考；涉及；谈到"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
thumb through,"na. 翻查一过
 翻阅；迅速翻阅；翻阅一遍"
evenly,adv. 均匀地；平衡地；平坦地；平等地
suspiciously,adv. 怀疑地；猜疑地
predecessor,n. 前任，前辈
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
advantaged,"v. 有利于（advantage的过去式）
adj. 得天独厚的；有利的；占有利位置的"
coincidence,n. 巧合；一致；同时发生
dream up,"na. 凭空想出；凭空捏造出
 虚构；创造；梦想"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
short-sighted,adj. 目光短浅的；近视的
get stuck in, 开始起劲地做某事; <俚>全神贯注吃饭或工作，使劲干
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
insensitive,adj. 感觉迟钝的，对…没有感觉的
qualification,n. 资格；条件；限制；赋予资格
humiliation,n. 丢脸，耻辱；蒙羞；谦卑
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
shortlist,n. （英）供最后挑选用的候选人名单
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
attendee,n. 出席者；在场者
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
 起草；草拟；停住"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
manicurist,n. 指甲修饰师
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
polish,
downscale,"vt. 缩减…规模
vi. 缩减规模"
middle-brow, 文化教养一般的；中档的；中额
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
slowdown,n. 减速；怠工；降低速度
dealership,n. 代理权；代理商；经销权
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
retailer,n. 零售商；传播的人
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
cautious,adj. 谨慎的；十分小心的
crucial,adj. 重要的；决定性的；定局的；决断的
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
in despair,"na. 绝望地
 绝望的；失望；在绝望中"
dreadful,adj. 可怕的；糟透的，令人不快的
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
Hold Steady,
predominantly,adv. 主要地；显著地
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
frenzied,"adj. 疯狂的；狂乱的；激怒的
v. 使狂乱（frenzy的过去式）"
overbid,"vt. 报谎价；出价较…为高
vi. 过高出价
n. 高价；谎价"
silver lining,"na. (失望或不幸中的)一线希望
 银边；一线光明；银线"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
sustained,"v. 维持（sustain的过去式和过去分词）；承受
adj. 持续的；持久的；持久不变的"
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
upside,n. 优势，上面
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
entertainer,n. 演艺人员，表演者
entrepreneur,n. 企业家；承包人；主办者
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
symptom,n.  症状；征兆
pervasive,adj. 普遍的；到处渗透的；流行的
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
anything but,"na. 决不是；除…外什么都
 除…以外任何事；一点也不；绝不"
distaste,"n. 厌恶；讨厌
vt. 厌恶；不喜欢
vi. 不喜欢"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
exploitation,n. 开发，开采；利用；广告推销；剥削
second-rate,adj. 二流的；二等的；平庸的
privilege,"n. 特权；优待
vt. 给与…特权；特免"
populist,
smell of, 有…的气味；闻到；闻出…的味道
elitism,n. 精英主义；杰出人物统治论
practicality,n. 实用性，实际性；实际，实例
rigorous,adj. 严格的，严厉的；严密的；严酷的
restraint,n. 抑制，克制；约束
recitation,n. 背诵；朗诵；详述；背诵的诗
bellyful,n. 满腹；满肚子；过量
exemplify,vt. 例证；例示
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
innate,adj. 先天的；固有的；与生俱来的
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
contemplative,adj. 沉思的；冥想的；默想的
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
theorize,"vt. 建立理论
vi. 建立理论或学说；推理"
militantly,adv. 好战地；好斗地；强硬地
proclaim,vt. 宣告，公布；声明；表明；赞扬
hostility,n. 敌意；战争行动
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
anthropologist,n. 人类学家；人类学者
be obliged to,"na. 感谢；不得已而…
 不得不；被迫做；有义务"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
