precise,adj. 精确的；明确的；严格的
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
accuracy,n.  精确度，准确性
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
deliberately,adv. 故意地；谨慎地；慎重地
violent,adj. 暴力的；猛烈的
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
journey,"n. 旅行；行程
vi. 旅行"
dustbin,n. 垃圾箱；吃货
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
gravity,n. 重力，地心引力；严重性；庄严
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
insist,"vi. 坚持，强调
vt. 坚持，强调"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
forgetful,adj. 健忘的；不注意的；疏忽的；使遗忘的
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
platform,n. 平台；月台，站台；坛；讲台
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
preparation,n. 预备；准备
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
unbelievable,adj. 难以置信的；不可信的
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
inventor,n. 发明家； 发明人；创造者
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
appendix,n. 附录；阑尾；附加物
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
existence,n. 存在，实在；生存，生活；存在物，实在物
rewrite,"n. 重写或改写的文稿；改写的作品
vt. 改写；重写
vi. 改写；重写"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
invention,n. 发明；发明物；虚构；发明才能
attitude,n. 态度；看法；意见；姿势
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
ample,adj. 丰富的；足够的；宽敞的
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
misunderstand,vt. 误解；误会
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
hardworking,"adj. 努力工作的；不辞辛劳的，苦干的
v. 努力工作（hardwork的ing形式）"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
prairie,n. 大草原；牧场
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
carrier,n.  载体；运送者；带菌者；货架
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
pen-friend,"n. 通信朋友, 笔友"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
connection,n. 连接；关系；人脉；连接件
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
oral,"n. 口试
adj. 口头的，口述的"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
event,n. 事件，大事；项目；结果
hopeless,adj. 绝望的；不可救药的
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
operator,n. 经营者；操作员；话务员；行家
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
sausage,n. 香肠；腊肠；装香肠的碎肉
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
subjective,adj. 主观的；个人的；自觉的
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
analysis,n. 分析；分解；验定
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
fried,"adj. 油炸的，油煎的；喝醉了的
v. 油炸（fry的过去分词）"
symptom,n.  症状；征兆
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
sneaker,n. 运动鞋；卑鄙者；鬼鬼祟祟做事的人
independence,n. 独立性，自立性；自主
butcher,"n. 屠夫
vt. 屠杀"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
mixture,n. 混合；混合物；混合剂
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
discussion,n. 讨论，议论
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
foggy,adj. 有雾的；模糊的，朦胧的
right-wing,adj. 右翼的；右派的
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
shelf,n. 架子；搁板；搁板状物；暗礁
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
aspect,n. 方面；方向；形势；外貌
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
limit,"n. 限制；限度；界线
vt. 限制；限定"
recipe,n. 食谱； 处方；秘诀；烹饪法
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
discuss,vt. 讨论；论述，辩论
scholar,n. 学者；奖学金获得者
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
climate,n. 气候；风气；思潮；风土
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
unless,"conj. 除非，如果不
prep. 除…之外"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
theoretical,adj. 理论的；理论上的；假设的；推理的
exhibition,n. 展览，显示；展览会；展览品
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
accumulate,"vt. 积攒
vi. 累积；积聚"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
extension,n. 延长；延期；扩大；伸展；电话分机
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
embassy,n. 大使馆；大使馆全体人员
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
turnoff,n. （美）岔道；避开
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
receipt,"n. 收到；收据；收入
vt. 收到"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
occupation,n. 职业；占有；消遣；占有期
mentally,adv. 精神上，智力上；心理上
traditional,adj. 传统的；惯例的
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
organization,n. 组织；机构；体制；团体
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
widespread,adj. 普遍的，广泛的；分布广的
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
diagram,"n. 图表；图解
vt. 用图解法表示"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
wealth,n. 财富；大量；富有
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
salty,adj. 咸的；含盐的
settler,n. 移居者；殖民者
eggplant,"n. 茄子
adj. 深紫色的"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
