visitor,n. 访问者，参观者；视察者；候鸟
porter,n. 门房；服务员；行李搬运工；守门人
fourth,"num. 第四
n. 第四，月的第四日；四分之一
adj. 第四的，第四个的；四分之一的"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
strength,n. 力量；力气；兵力；长处
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
the Forbidden City,
unpromising,adj. 无前途的，没有希望的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
capacity,n. 能力；容量；资格，地位；生产力
café,
brochure,n. 手册，小册子
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
renovate,vt. 更新；修复；革新；刷新
reconstructed,"adj. 重建的；改造的
v. 重建；改造（reconstruct的过去式）"
courtyard,n. 庭院，院子；天井
boutique,"n. 精品店；专卖流行衣服的小商店
adj. 精品屋的；小规模专售精品的"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
afterwards,adv. 后来；然后
parliament,n. 议会，国会
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
miserable,adj. 悲惨的；痛苦的；卑鄙的
breathtaking,adj. 惊人的；惊险的；令人激动的
aquarium,n. 水族馆；养鱼池；玻璃缸
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
meantime,"n. 其时，其间
adv. 同时；其间"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
Vietnam,n. 越南（东南亚国家）
mecca,
cash-strapped,adj. 缺乏现金的；没有足够资本的
villa,n. 别墅；郊区住宅
waterfall,n. 瀑布；瀑布似的东西
picturesque,adj. 独特的；生动的；别致的；图画般的
heritage,n. 遗产；传统；继承物；继承权
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
privately,adv. 私下地；秘密地
destination,n. 目的地，终点
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
conscious,adj. 意识到的；故意的；神志清醒的
decent,adj. 正派的；得体的；相当好的
operator,n. 经营者；操作员；话务员；行家
network,n. 网络；广播网；网状物
backpacker,n. 背包旅行者
peace,n. 和平；平静；和睦；秩序
reservation,n. 预约，预订；保留
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
situate,"adj. 位于…的
vt. 使位于；使处于"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
install,vt. 安装；任命；安顿
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
adequate,adj. 充足的；适当的；胜任的
shortage,n. 缺乏，缺少；不足
furnish,vt. 提供；供应；装备
sloping,"adj. 倾斜的；有坡度的；成斜坡的
v. 溢出（slop的ing形式）"
ceiling,n. 天花板；上限
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
favorably,adv. 顺利地；亲切地；好意地
attraction,n. 吸引，吸引力；引力；吸引人的事物
memorable,adj. 显著的，难忘的；值得纪念的
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
beauty,n. 美；美丽；美人；美好的东西
parlor,"n. 客厅；会客室；业务室
adj. 客厅的"
beauty parlor,"na. 美容院
 美容美发；美容扮倩；美容店"
Canton,
computerize,vt. 使电脑化；使计算机化；用电脑处理
hot dog,"n. 热狗（香肠面包）；（滑雪、滑雪板运动或冲浪的）灵巧动作表演者
adj. 极好的
 红肠面包；热狗肠；小红肠"
doughnut,n. 油炸圈饼；圆环图；电子回旋加速器环状真空室
spectacular,adj. 壮观的，惊人的；公开展示的
revolving,"v. 旋转（revolve的ing形式）
adj. 旋转的"
helipad,n. 直升机起飞及降落场
exception,n. 例外；异议
steadily,adv. 稳定地；稳固地；有规则地
technician,n. 技师，技术员；技巧纯熟的人
coastal,adj. 沿海的；海岸的
concession,n. 让步；特许（权）；承认；退位
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
hassle,"n. 困难，麻烦；激战
vt. 找麻烦，搅扰；与…争辩；使…烦恼
vi. 争论，争辩"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
surface mail,"n. 水陆路邮件；平寄邮件
 平邮；普通邮件；平信"
instrument,n. 仪器；工具；乐器；手段；器械
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
fragile,adj. 脆的；易碎的
returnee,n. 海归；回国军人；回校重读的学生
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
special delivery,"n. （信件等的）特快专递
 特别快递；邮件快递；限时专送"
certify,v. 证明；保证
registered mail,"n. 挂号邮寄
 挂号信；挂号邮件；寄挂号邮件"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
commemorative,adj. 纪念的
rule of thumb,"na. 手工业方式；靠经验估计
 经验法则；拇指规则；单凭经验来做的方法"
correspondence,n. 通信；一致；相当
carfare,n. 车资，票价；电车费，汽车费
numerous,adj. 许多的，很多的
essentially,adv. 本质上；本来
slightly,adv. 些微地，轻微地；纤细地
electricity,n. 电力；电流；强烈的紧张情绪
unit,n. 单位，单元；装置； 部队；部件
paper note,
denomination,n. 面额；名称；教派
Euro,
yen,"n. 日元（日本货币单位）；渴望
vi. 渴望"
sterling,"n. 英国货币；标准纯银
adj. 纯正的；英币的；纯银制的"
acceptance,n. 接纳；赞同；容忍
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
experimental,adj. 实验的；根据实验的；试验性的
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
distribution,n. 分布；分配
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
the root cause, 问题的根源；技术原因
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
pulp,"n. 纸浆；果肉；黏浆状物质
vt. 使…化成纸浆；除去…的果肉
vi. 变成纸浆；成为浆状"
dusty,adj. 落满灰尘的
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
operation,n. 操作；经营； 手术； 运算
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
raise funds,"un. 筹款
 筹集资金；筹集基金；筹措"
wherever,"conj. 无论在哪里；无论什么情况下
adv. 无论什么地方；究竟在哪里"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
vice-,pref. 表示“副的，次的”之义
bureau,n. 局，处；衣柜；办公桌
justice,n. 司法，法律制裁；正义；法官，审判员
municipal,adj. 市政的，市的；地方自治的
give the green light to, 开绿灯；批准
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
practitioner,n. 开业者，从业者，执业医生
lawyer,n. 律师；法学家
legal,adj. 法律的；合法的；法定的；依照法律的
urban,adj. 城市的；住在都市的
experienced,adj. 老练的，熟练的；富有经验的
scrutiny,n. 详细审查；监视；细看；选票复查
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
applicant,n. 申请人，申请者；请求者
invaluable,adj. 无价的；非常贵重的
procuratorial,"a. 代理人的, 代诉的
 代诉人的, 代理人的, 检察的"
financial,adj. 金融的；财政的，财务的
consultation,n. 咨询；磋商； 会诊；讨论会
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
mayor,n. 市长
election,n. 选举；当选；选择权；上帝的选拔
setback,n. 挫折；退步；逆流
council,n. 委员会；会议；理事会；地方议会；顾问班子
iron out,"na. 烫平；用铁滚轧平；压平(物价)；消除
 解决；熨平；解决问题直译是用熨斗烫平"
majority,n. 多数；成年
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
convention,n. 大会； 惯例； 约定； 协定；习俗
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
foresee,vt. 预见；预知
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
economy,n. 经济；节约；理财
intend,"vi. 有打算
vt. 打算；想要；意指"
laurel,"n. 桂冠，殊荣；月桂树
vt. 授予荣誉，使戴桂冠"
voter,n. 选举人，投票人；有投票权者
accomplish,vt. 完成；实现；达到
nephew,n. 侄子；外甥
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
poem,n. 诗
dozen,"n. 十二个，一打
adj. 一打的"
piglet,n. 小猪（尤指乳猪）
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
celebration,n. 庆典，庆祝会；庆祝；颂扬
scene,n. 场面；情景；景象；事件
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
sausage,n. 香肠；腊肠；装香肠的碎肉
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
contestant,n. 竞争者；争辩者
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
admission,n. 承认；入场费；进入许可；坦白；录用
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
carousel,"n. 旋转木马
行李传送带"
unicorn,n. 独角兽；麒麟
nostalgic,adj. 怀旧的；乡愁的
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
blueberry,n. 蓝莓； 越橘属的浆果
ox,n. 牛；公牛
oxen,n. 牛（ox的复数）
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
countryside,n. 农村，乡下；乡下的全体居民
sideshow,n. 穿插表演；串演的节；小事件
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
rodeo,"n. 竞技表演；竞技者
vi. 竞技"
interactive,adj. 交互式的；相互作用的
audience,n. 观众；听众；读者；接见；正式会见；拜会
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
