abnormal,adj. 反常的，不规则的；变态的
successive,adj. 连续的；继承的；依次的；接替的
concede,"vi. 让步
vt. 承认；退让；给予，容许"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
recede,"vi. 后退；减弱
vt. 撤回"
precedent,"n. 先例；前例
adj. 在前的；在先的"
unprecedented,adj. 空前的；无前例的
exceed,"vt. 超过；胜过
vi. 超过其他"
exceedingly,adv. 非常；极其；极度地；极端
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
invent,vt. 发明；创造；虚构
event,n. 事件，大事；项目；结果
intervene,vi. 干涉；调停；插入
convenient,adj. 方便的；适当的；近便的；实用的
convenience,n. 便利；厕所；便利的事物
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
standpoint,n. 立场；观点
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
bystander,n. 旁观者；看热闹的人
standby,"n. 备用品；可信赖的人
adj. 备用的
adv. 备用地；待命地"
standout,"n. 杰出的人；突出度
adj. 杰出的；出色的"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
superstition,n. 迷信
prestige,n. 威望，声望；声誉
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
status,n. 地位；状态；情形；重要身份
statue,"n. 雕像，塑像
vt. 以雕像装饰"
statement,n. 声明；陈述，叙述；报表，清单
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
statute,n.  法规；法令；条例
estate,n. 房地产；财产；身份
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
constitute,vt. 组成，构成；建立；任命
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
substance,n. 物质；实质；资产；主旨
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
consist,vi. 由…组成；在于；符合
insist,"vi. 坚持，强调
vt. 坚持，强调"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
considerate,adj. 体贴的；体谅的；考虑周到的
consideration,n. 考虑；原因；关心；报酬
preside,"vi. 主持，担任会议主席
vt. 管理"
president,n. 总统；董事长；校长；主席
reside,vi. 住，居住；属于
residence,n. 住宅，住处；居住
resident,"n. 居民；住院医生
adj. 居住的；定居的"
subside,vi. 平息；减弱；沉淀；坐下
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
subsidy,n. 补贴；津贴；补助金
sedate,"adj. 安静的；沉着的
vt. 给…服镇静剂"
aspect,n. 方面；方向；形势；外貌
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prospective,"n. 预期；展望
adj. 未来的；预期的"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
spectator,n. 观众；旁观者
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
respective,adj. 分别的，各自的
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
spectacular,adj. 壮观的，惊人的；公开展示的
conspicuous,adj. 显著的；显而易见的
despise,vt. 轻视，鄙视
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
suspicious,adj. 可疑的；怀疑的；多疑的
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evident,adj. 明显的；明白的
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
envisage,vt. 正视，面对；想像
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
television,n. 电视，电视机；电视业
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visual,adj. 视觉的，视力的；栩栩如生的
audience,n. 观众；听众；读者；接见；正式会见；拜会
audio,adj. 声音的； 音频的， 声频的
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
auditorium,n. 礼堂，会堂；观众席
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
famous,adj. 著名的；极好的，非常令人满意的
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
verdict,n. 结论；裁定
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
dictation,n. 听写；口述；命令
dictionary,n. 字典；词典
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
indict,vt. 控告，起诉； 揭发
diction,n. 用语；措词
edict,n. 法令；布告
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
legend,n. 传奇；说明；图例；刻印文字
allege,vt. 宣称，断言；提出…作为理由
legible,adj. 清晰的；易读的；易辨认的
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
monologue,n. 独白
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
illogical,adj. 不合逻辑的；不合常理的
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
capable,adj. 能干的，能胜任的；有才华的
recipe,n. 食谱； 处方；秘诀；烹饪法
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
deceive,v. 欺骗；行骗
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
receive,"vt. 收到；接待；接纳
vi. 接收"
concept,n. 观念，概念
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exception,n. 例外；异议
exceptional,"n. 超常的学生
adj. 异常的，例外的"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptable,adj. 可接受的；合意的；可忍受的
acceptance,n. 接纳；赞同；容忍
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
maintenance,n. 维护，维修；保持；生活费用
retention,n. 保留；扣留，滞留；记忆力；闭尿
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
container,n. 集装箱；容器
detain,vt. 拘留；留住；耽搁
obtain,"vi. 获得；流行
vt. 获得"
retain,vt. 保持；雇；记住
sustain,vt. 维持；支撑，承担；忍受；供养；证实
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
maintain,vt. 维持；继续；维修；主张；供养
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
fertile,adj. 富饶的，肥沃的；能生育的
infer,"vi. 推断；作出推论
vt. 推断；推论"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
distract,vt. 转移；分心
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
subtract,vt. 减去；扣掉
tractor,n. 拖拉机；牵引机
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
attractive,adj. 吸引人的；有魅力的；引人注目的
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
portrait,n. 肖像；描写；半身雕塑像
compel,vt. 强迫，迫使；强使发生
expel,vt. 驱逐；开除
propel,vt. 推进；驱使；激励；驱策
repel,vt. 击退；抵制；使厌恶；使不愉快
impel,vt. 推动；驱使；激励
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
missionary,"adj. 传教的；传教士的
n. 传教士"
transmission,n. 传动装置， 变速器；传递；传送；播送
permission,n. 允许，许可
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
emit,vt. 发出，放射；发行；发表
intermittent,adj. 间歇的；断断续续的；间歇性
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
product,n. 产品；结果； 乘积；作品
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
introduction,n. 介绍；引进；采用；入门；传入
agency,n. 代理，中介；代理处，经销处
agenda,n. 议程；日常工作事项；日程表
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
navigation,n. 航行；航海
actor,n. 男演员；行动者；作用物
action,n. 行动；活动；功能；战斗；情节
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
defective,"n. 有缺陷的人；不完全变化词
adj. 有缺陷的；不完美的"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
infect,vt. 感染，传染
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
deficient,adj. 不足的；有缺陷的；不充分的
deficiency,n. 缺陷，缺点；缺乏；不足的数额
difficult,adj. 困难的；不随和的；执拗的
efficiency,n. 效率；效能；功效
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
significance,n. 意义；重要性；意思
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
formation,n. 形成；构造；编队
formulate,vt. 规划；用公式表示；明确地表达
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
platform,n. 平台；月台，站台；坛；讲台
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
