fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
bombard,"n. 射石炮
vt. 轰炸；炮击"
egalitarianism,n. 平等主义， 平均主义
madame,n. （法语）夫人；太太
brochure,n. 手册，小册子
sleazy,adj. 质地薄的；肮脏的；低级庸俗的；破烂的
graffito,n. 乱画；（古罗马等石头、墙壁上的）粗糙雕画
nonetheless,adv. 尽管如此，但是
jaywalker,n. 不守交通规则；乱穿马路的人
spirited,"adj. 英勇的；生机勃勃的
v. 鼓舞（spirit的过去分词）"
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
feud,"n. 不和；争执；封地;（部落或家族间的）世仇
vi. 长期不和；长期争斗"
alcoholism,n. 酗酒； 酒精中毒
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
sprint,"n. 冲刺；短跑
vt. 全速奔跑
vi. 冲刺，全速跑"
interlock,v.  互锁；连锁
fend,"vi. 照料；供养；力争
vt. 谋生；保护；挡开；供养"
fester,"n. 溃烂；脓疮，脓疱
vt. 使……溃烂；使……痛苦；使……恶化
vi. 溃烂；化脓"
feint,"n. 佯攻；伪装
vi. 佯攻；假装
vt. 佯攻
adj. 假的"
exodus,n. 《出埃及记》（《圣经》第二卷）
blob,"n. 一滴；一抹；难以名状的一团
vt. 弄脏；把…做错
vi. 得零分；弄错"
alms,n. 捐献；救济物，施舍金
retribution,n. 报应；惩罚；报答；报偿
faction,n. 派别；内讧；小集团；纪实小说
rector,n. 校长；院长；教区牧师
serf,n. 农奴；奴隶；被压迫者
marksman,n. 神射手；不能用笔署名者
ulcer,n.  溃疡；腐烂物；道德败坏
underdog,n. 比赛中不被看好者；失败者；受压迫者；斗败了的狗
palpable,adj. 明显的；可感知的；易觉察的
allay,vt. 减轻；使缓和；使平静
foist,vt. 偷偷插入；混入；蒙骗；硬卖给；采用欺骗手段出售；把…强加于
potency,n. 效能；力量；潜力；权势
perjury,n. 伪证；伪誓；背信弃义
transitory,adj. 短暂的，暂时的；瞬息的
momentary,adj. 瞬间的；短暂的；随时会发生的
subside,vi. 平息；减弱；沉淀；坐下
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
surly,adj. 乖戾的；板面孔的，无礼的；阴沉的
flimsy,"n. 薄纸；复写纸；打字纸
adj. 脆弱的；浅薄的；易损坏的；不周密的"
engross,vt. 使全神贯注；用大字体书写；正式写成（决议等）；独占；吸引
enliven,vt. 使活泼；使生动；使有生气，使活跃
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
perturb,vt. 扰乱；使…混乱；使…心绪不宁
wane,"n. 衰退；月亏；衰退期；缺损
vi. 衰落；变小；亏缺；退潮；消逝"
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
etiquette,n. 礼节，礼仪；规矩
chivalry,n. 骑士精神（复数chivalries）；骑士制度
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
debase,vt. 降低；使…贬值；掺杂
ceremonial,"n. 仪式，礼节
adj. 仪式的；正式的，礼仪的"
hostility,n. 敌意；战争行动
mercenary,"adj. 雇佣的；唯利是图的
n. 雇佣兵；唯利是图者"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
unify,vt. 统一；使相同，使一致
enmity,n. 敌意；憎恨
telling,"n. 命令；叙述；吐露真情
v. 告诉；讲述（tell的ing形式）；命令
adj. 有效的；生动的；显著的"
ethnic,adj. 种族的；人种的
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
holocaust,n. 大屠杀；毁灭
sterilize,vt. 消毒，杀菌；使成不毛；使绝育；使不起作用
confounded,"v. 使混淆（confound的过去分词）
adj. 困惑的；糊涂的；讨厌的；惊慌失措的"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
holly,"n. 冬青树（等于holm oak）
adj. 冬青属植物的"
oracle,n. 神谕；预言；神谕处；圣人
neurosis,n.  神经症；神经衰弱症
alight,"adj. 烧着的；点亮着的
vi. 下来；飞落"
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
recline,"vt. 使躺下；使斜倚
vi. 靠；依赖；斜倚"
recoup,"vt. 收回；恢复；偿还；扣除
vi. 获得补偿；请求扣除"
recount,"n. 重算
vt. 叙述；重新计算"
misconduct,"n. 不端行为；处理不当
vt. 处理不当；行为不检"
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
cobble,"n. 鹅卵石，圆石
vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面"
pacify,vt. 使平静；安慰；平定
pounce,"n. 猛扑，爪
vt. 扑过去抓住
vi. 突袭，猛扑"
convulse,vt. 震撼；使剧烈震动；使抽搐
coerce,vt. 强制，迫使
protrude,"vi. 突出，伸出
vt. 使突出，使伸出"
pedestal,"n. 基架，基座；基础
vt. 搁在台上；支持；加座"
buttock,"n. 半边臀部；船尾
vt. 用腰摔"
molest,vt. 骚扰；调戏；干扰
mound,"n. 堆；高地；坟堆；护堤
vt. 堆起；筑堤
vi. 积成堆"
negligent,adj. 疏忽的；粗心大意的
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
adjourn,"vt. 推迟；使…中止；使…延期
vi. 休会；延期；换地方"
affable,adj. 和蔼可亲的；友善的
closure,"n. 关闭；终止，结束
vt. 使终止"
homage,n. 敬意；尊敬；效忠
impel,vt. 推动；驱使；激励
enigma,n. 谜，不可思议的东西
ignominious,adj. 可耻的；下流的
antipathy,n. 反感；厌恶；憎恶；不相容
servile,adj. 奴隶的；奴性的；卑屈的；卑屈的
extraneous,adj. 外来的；没有关联的；来自体外的
sojourn,"n. 逗留；旅居
vi. 逗留；旅居"
penury,n. 贫困；贫穷
epitome,n. 缩影；摘要；象征
inherent,adj. 固有的；内在的；与生俱来的，遗传的
confer,"vt. 授予；给予
vi. 协商"
autonomy,n. 自治，自治权
feasible,adj. 可行的；可能的；可实行的
degrading,"adj. 可耻的；丧失体面的；不名誉的
v. 退化（degrade的ing形式）；减少；降低…的身份"
meager,"adj. 贫乏的；瘦的
n. 兆"
increment,n.  增量；增加；增额；盈余
steroid,n. 类固醇； 甾族化合物
predicament,n. 窘况，困境；状态
spleen,n. 脾脏；坏脾气；怒气
churlish,adj. 没有礼貌的；脾气暴躁的
reprisal,n. 报复（行为）；报复性劫掠
dissolving,"v. 使溶解（dissolve的现在分词）
adj. 消溶的；毁灭性的"
dilemma,n. 困境；进退两难；两刀论法
problematic,adj. 问题的；有疑问的；不确定的
lethal,"adj. 致命的，致死的
n. 致死因子"
inflated,"v. 膨胀（inflate的过去式和过去分词）；使充气；抬高（物价）
adj. 通货膨胀的；充了气的；价格飞涨的；（植物）肿胀的"
salutary,adj. 有益的，有用的；有益健康的
tensile,adj.  拉力的；可伸长的；可拉长的
makeshift,"n. 权宜之计；凑合；临时措施；将就
adj. 临时的；权宜之计的；凑合的"
tantrum,n. 发脾气；发怒
respite,"n. 缓解；暂缓；暂时的休息；缓期执行
vt. 使缓解；使暂缓；使延期；缓期执行"
avid,adj. 渴望的，贪婪的；热心的
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
muddle,"vt. 混合；使咬字不清晰；使微醉
n. 糊涂；困惑；混浊状态
vi. 胡乱思考；糊里糊涂地行事"
indent,"n. 缩进；订货单；凹痕；契约
vi. 切割成锯齿状
vt. 定货；缩排；印凹痕"
tenet,n. 原则；信条；教义
transcribe,vt. 转录；抄写
extol,vt. 颂扬；赞美；赞颂
electrode,顽皮雷弹
mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
tab,"n. 标签；制表；帐单
vt. 给…贴标签"
dreg,n. 渣滓；沉淀物
shambles,"n. 混乱；废墟；屠宰场（shamble的复数）
v. 蹒跚而行（shamble的第三人称单数形式）"
navel,n.  肚脐；中央；中心点
frill,"n. 装饰；褶边
vt. 折成皱边
vi. 起边皱"
bountiful,adj. 丰富的；慷慨的；宽大的
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
bog,"n. 沼泽；泥塘
vt. 使陷于泥沼；使动弹不得
vi. 陷于泥沼；动弹不得"
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
muzzle,"n. 枪口，炮口；口套，口络；动物的鼻口
vt. 使…缄默；给…戴口套；封锁…的言论"
girdle,"n. 腰带；围绕物；妇女紧身褡
vt. 围绕；绕…而行；用带子捆扎"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
reverie,n. 幻想；沉思；幻想曲
intricate,adj. 复杂的；错综的，缠结的
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
mores,n. 习惯，习俗；风俗；道德观念
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
polemic,"n. 争论；辩论者
adj. 好争论的"
literacy,n. 读写能力；精通文学
impede,vt. 阻碍；妨碍；阻止
impoverished,"adj. 穷困的；用尽了的，无创造性的
v. 使贫困（impoverish的过去分词）"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
empirical,adj. 经验主义的，完全根据经验的；实证的
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
innate,adj. 先天的；固有的；与生俱来的
wean,"n. （苏格兰）幼儿
vt. 使断奶；使断念；使放弃"
formative,"n. 构词要素
adj. 形成的；造型的；格式化的"
motivate,vt. 刺激；使有动机；激发…的积极性
reciprocate,"vt. 报答；互换；互给
vi. 往复运动；互换；酬答；互给"
remiss,adj. 怠慢的；迟缓的；不小心的
randy,"n. 莽汉；粗鲁悍妇
adj. 好色的；喧闹的；粗俗的"
hale,"adj. 矍铄的（尤指老人）；强壮的
vt. 迫使；猛拉
adv. 完全地
vi. 不断流出"
alias,"n. 别名，化名
adv. 别名叫；化名为"
hallucination,n. 幻觉，幻想；错觉
commentate,"vt. 评论；解说；注释
vi. 评论时事；实况报道"
sag,"n. 松弛；下跌；漂流；萧条
vt. 使下垂
vi. 下垂；下降；萎靡"
drape,"n. 窗帘；褶裥
vt. 用布帘覆盖；使呈褶裥状
vi. 成褶皱状垂下"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
dice,"vt. 切成方块
n. 骰子
vi. 掷骰子"
terry,"n. 厚绒布；毛毛圈
adj. 起毛毛圈的"
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
pervade,vt. 遍及；弥漫
horoscope,n. 占星术；星象；十二宫图
horticulture,n. 园艺，园艺学
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
slab,"n. 厚板，平板；混凝土路面；厚片
vt. 把…分成厚片；用石板铺"
replica,n. 复制品，复制物
farce,n. 闹剧；胡闹；笑剧
mockery,n. 嘲弄；笑柄；徒劳无功；拙劣可笑的模仿或歪曲
husky,"adj. 声音沙哑的；有壳的；强壮的
n. 强壮结实之人；爱斯基摩人"
rapt,adj. 全神贯注的；入迷的
sleek,"adj. 圆滑的；井然有序的
vt. 使…光滑；掩盖
vi. 打扮整洁；滑动"
chaste,adj. 纯洁的；贞洁的；有道德的；朴素的
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
entangle,vt. 使纠缠；卷入；使混乱
mundane,adj. 世俗的，平凡的；世界的，宇宙的
nibble,"vi. 细咬；一点一点地咬；吹毛求疵
vt. 细咬；一点一点地咬；吹毛求疵
n. 轻咬；啃；细咬"
gobble,"n. 火鸡叫声
vt. 狼吞虎咽
vi. 贪食；咯咯叫"
nimble,adj. 敏捷的；聪明的；敏感的
prolific,adj. 多产的；丰富的
copious,adj. 丰富的；很多的；多产的
candid,adj. 公正的；坦白的；率直的；偷拍的
repugnant,adj. 讨厌的；矛盾的；敌对的
vehement,adj. 激烈的，猛烈的；热烈的
misadventure,n. 灾难；不幸遭遇
sordid,adj. 肮脏的；卑鄙的；利欲熏心的；色彩暗淡的
galvanize,vt. 镀锌；通电；刺激
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
secretive,adj. 秘密的；偷偷摸摸的；促进分泌的
wizard,"n. 男巫；术士；奇才；向导程序
adj. 男巫的；巫术的"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
dossier,n. 档案，卷宗；病历表册
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
unsuspecting,adj. 不怀疑的；未猜想到…的
holding,"n. 举办；支持
v. 召开；担任（hold的ing形式）；握住"
cocaine,n.  可卡因
snort,"n. 喷鼻息；一小杯酒
vt. 喷出；发哼声；吸毒品
vi. 轻蔑或愤怒地发出哼声；喷出蒸汽声"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
bum,"n. 流浪汉；屁股；狂欢作乐；能力差的人；嗡嗡声；执达员（等于bumbailiff）
vi. 流浪；靠乞讨过活；发嗡嗡声
vt. 乞讨；闲荡
adj. 无价值的；劣质的；很不愉快的"
nonchalant,adj. 冷淡的，漠不关心的
hearth,n. 灶台；炉边；炉床；壁炉地面
sanctum,n. 圣所；密室；私室
asylum,n. 庇护；收容所，救济院
hormone,n.  激素，荷尔蒙
reinstate,vt. 使恢复；使复原
relapse,"n. 复发，再发；故态复萌；回复原状
vi. 故态复萌；旧病复发；再度堕落；再陷邪道"
relegate,vt. 把降低到；归入；提交
rejuvenate,"vt. 使年轻；使更新；使恢复精神；使复原
vi. 复原；变年轻"
lacquer,"vt. 涂漆；使表面光泽
n. 漆；漆器"
relinquish,vt. 放弃；放手；让渡
retaliate,"vi. 报复；回敬
vt. 报复"
reverend,"n. 教士
adj. 教士的；可尊敬的"
credulous,adj. 轻信的；因轻信而产生的
retarded,adj. 智力迟钝的；发展迟缓的
ulterior,adj. 将来的，较远的；在那边的；隐秘不明的
antelope,n. 羚羊；羚羊皮革
waive,vt. 放弃；搁置
wares,n.  商品；货物
iterate,vt. 迭代；重复；反复说；重做
excise,"n. 消费税；货物税
vt. 切除；收税"
verbatim,"adj. 逐字的
adv. 逐字地"
fastidious,adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
hilarious,adj. 欢闹的；非常滑稽的；喜不自禁的
gregarious,adj. 社交的；群居的
congenital,adj. 先天的，天生的；天赋的
concord,n. 和谐；和睦；一致；协调
blatant,adj. 喧嚣的；公然的；炫耀的；俗丽的
blemish,"n. 瑕疵；污点；缺点
vt. 玷污；损害；弄脏"
blotter,n. 记事簿， 流水帐；吸墨纸
slimy,adj. 黏滑的；泥泞的；谄媚的，虚伪的
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
vigilant,adj. 警惕的；警醒的；注意的；警戒的
jostle,"vt. 推挤，撞；争夺
vi. 竞争，争夺；推挤
n. 推撞，挤拥"
confederate,"n. 同盟国，同盟者
adj. 同盟的，联合的
vt. 使联盟；使联合；同伙；帮凶
vi. 同盟；联合"
dupe,"vt. 欺骗；愚弄（等于duplicate）
n. 上当者；易受骗的人"
incipient,adj. 初期的；初始的；起初的；发端的
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
loathe,vt. 讨厌，厌恶
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
comply,vi. 遵守；顺从，遵从；答应
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
preposterous,adj. 荒谬的；可笑的
tatty,adj. 不整洁的；不值钱的；破旧的
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
pier,n. 码头，直码头；桥墩；窗间壁
beckoning,"adj. 引诱人的；令人心动的
v. 招手（beckon的现在分词）"
ken,n. 视野范围，见地，知识范围
arcade,"n. 拱廊；（内设投角子电子游戏机等的）游乐场；有拱廊的街道
vt. 使有拱廊"
hiss,"n. 嘘声；嘶嘶声
vi. 发出嘘声；发嘘声"
expectancy,n. 期望，期待
vie,"vi. 争；竞争
vt. 使针锋相对；提出...来竞争；以...作较量"
shin,"n. 胫骨
vt. 爬；攀
vi. 攀；快步走"
badger,"n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊
vt. 纠缠不休；吵着要；烦扰"
taint,"n. 污点；感染
vt. 污染；腐蚀；使感染
vi. 败坏；被污染"
incriminate,vt. 控告；暗示...有罪
consecrate,"adj. 神圣的；被献给神的
vt. 奉献；使神圣；供神用；献身于"
