intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
consultant,n. 顾问；咨询者；会诊医生
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
instance,"n. 实例；情况；建议
vt. 举...为例"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
bonus,n. 奖金；红利；额外津贴
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
disclosure,n.  披露；揭发；被揭发出来的事情
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
neuroscience,n. 神经系统科学（指神经病学、 神经化学等）
autonomy,n. 自治，自治权
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
aspect,n. 方面；方向；形势；外貌
recordkeeper,"un. 记分员
 帐户管理人；档案管理员"
rooflight,天窗
prioritize,"vt. 把…区分优先次序
vi. 把事情按优先顺序排好"
symbol,n. 象征；符号；标志
tremendous,adj. 极大的，巨大的；惊人的；极好的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
credible,adj. 可靠的，可信的
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
scrutiny,n. 详细审查；监视；细看；选票复查
acquaint,vt. 使熟悉；使认识
critique,"n. 批评；评论文章
vt. 批判；评论"
emerge,vi. 浮现；摆脱；暴露
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
particle,n. 颗粒； 质点；极小量；小品词
violence,n. 暴力；侵犯；激烈；歪曲
acquire,vt. 获得；取得；学到；捕获
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
include,vt. 包含，包括
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
deduction,n. 扣除，减除；推论；减除额
emphasize,vt. 强调，着重
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
non-controversial,无争议的
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
inadequate,adj. 不充分的，不适当的
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
cursory,adj. 粗略的；草率的；匆忙的
feedback,n. 反馈；成果，资料；回复
implicate,vt. 使卷入；涉及；暗指；影响
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
differentiate,"vt. 区分，区别
vi. 区分，区别"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
unrepresentative,adj. 非代表性的，不典型的
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
visual,adj. 视觉的，视力的；栩栩如生的
adequate,adj. 充足的；适当的；胜任的
defend,"vi. 保卫；防守
vt. 辩护；防护"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
widespread,adj. 普遍的，广泛的；分布广的
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
definite,adj. 一定的；确切的
incidence,n. 发生率；影响； 入射；影响范围
outcome,n. 结果，结局；成果
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
certify,v. 证明；保证
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
sentiment,n. 感情，情绪；情操；观点；多愁善感
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
biography,n. 传记；档案；个人简介
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
biology,n. （一个地区全部的）生物；生物学
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
wisdom,n. 智慧，才智；明智；学识；至理名言
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
penalty,n. 罚款，罚金；处罚
impel,vt. 推动；驱使；激励
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
universe,n. 宇宙；世界；领域
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
chaos,n. 混沌，混乱
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
indicate,vt. 表明；指出；预示；象征
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
series,n. 系列，连续； 串联；级数；丛书
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
lineage,n. 血统；家系， 世系
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
denote,vt. 表示，指示
indignant,adj. 愤愤不平的；义愤的
region,n. 地区；范围；部位
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
hostage,n. 人质；抵押品
transparent,adj. 透明的；显然的；坦率的；易懂的
ware,"n. 陶器，器皿；制品；器具；货物
vt. 留心；小心"
annually,adv. 每年；一年一次
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
third-party,adj. 第三方，第三方的
platform,n. 平台；月台，站台；坛；讲台
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
rethink,"n. 重新考虑；反思；新想法
vt. 重新考虑；再想
vi. 重新考虑；再想"
binary,adj.  二进制的；二元的，二态的
deficiency,n. 缺陷，缺点；缺乏；不足的数额
caregiver,n. 照料者，护理者
transgression,n.  海侵；犯罪；违反；逸出
prosocial,adj. 亲社会的；忠实于既定社会道德准则的
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
rhythm,n. 节奏；韵律
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
deadline,n. 截止期限，最后期限
recoup,"vt. 收回；恢复；偿还；扣除
vi. 获得补偿；请求扣除"
permission,n. 允许，许可
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
establishment,n. 确立，制定；公司；设施
renovation,n. 革新；修理；恢复活力
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
afford,vt. 给予，提供；买得起
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
induce,vt. 诱导；引起；引诱；感应
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
agency,n. 代理，中介；代理处，经销处
department,n. 部；部门；系；科；局
literary,adj. 文学的；书面的；精通文学的
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
aggravate,vt. 加重；使恶化；激怒
environment,n. 环境，外界
overstate,vt. 夸张；夸大的叙述
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
uphold,vt. 支撑；鼓励；赞成；举起
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
misinterpret,vt. 曲解，误解
pessimistic,adj. 悲观的，厌世的；悲观主义的
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
intangible,adj. 无形的，触摸不到的；难以理解的
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
prominent,adj. 突出的，显著的；杰出的；卓越的
rental,"n. 租金收入，租金；租赁
adj. 租赁的；收取租金的"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
unexpected,adj. 意外的，想不到的
depute,vt. 委任；授权给；指定…为代理人
unsurpassed,adj. 非常卓越的；未被超越的
philharmonic,"n. 交响乐团；音乐爱好者；爱乐团体
adj. 交响乐团的；爱好音乐的"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
tolerate,vt. 忍受；默许；宽恕
episode,n. 插曲；一段情节；插话；有趣的事件
beneficial,adj. 有益的，有利的；可享利益的
philosophy,n. 哲学；哲理；人生观
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
derive,"vt. 源于；得自；获得
vi. 起源"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
equip,vt. 装备，配备
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
recession,n. 衰退；不景气；后退；凹处
shareholder,n. 股东；股票持有人
infer,"vi. 推断；作出推论
vt. 推断；推论"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
