discrepancy,n. 不符；矛盾；相差
gravity,n. 重力，地心引力；严重性；庄严
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
alter,"vt. 改变，更改
vi. 改变；修改"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
despise,vt. 轻视，鄙视
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
droop,"n. 下垂；消沉
vt. 使…下垂
vi. 下垂；萎靡；凋萎"
fertilize,vt. 使受精；使肥沃
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
polish,
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
undercover,adj. 秘密的，秘密从事的；从事间谍活动的
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
violent,adj. 暴力的；猛烈的
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
counterattack,"n. 反击；反攻
vi. 反击；反攻
vt. 反击；反攻"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
emphasis,n. 重点；强调；加强语气
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
undergo,vt. 经历，经受；忍受
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
distinct,adj. 明显的；独特的；清楚的；有区别的
imply,vt. 意味；暗示；隐含
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
status,n. 地位；状态；情形；重要身份
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
disdain,"n. 蔑视
vt. 鄙弃"
enforce,vt. 实施，执行；强迫，强制
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
eminent,adj. 杰出的；有名的；明显的
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
verify,vt. 核实；查证
comparable,adj. 可比较的；比得上的
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
temperate,adj. 温和的；适度的；有节制的
breakthrough,n. 突破；突破性进展
embargo,"vt. 禁止出入港口；禁止或限制贸易；征用或扣押
n. 禁令；禁止；封港令"
economic,adj. 经济的，经济上的；经济学的
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
legacy,n. 遗赠，遗产
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
extinguish,vt. 熄灭；压制；偿清
award,"n. 奖品；判决
vt. 授予；判定"
slur,"n. 污点；诽谤；连音符
vi. 含糊地发音；潦草地写字；拖着脚走
vt. 忽视；草率地看过；含糊地念；诋毁"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
memory,n. 记忆，记忆力；内存， 存储器；回忆
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
derive,"vt. 源于；得自；获得
vi. 起源"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
flick,"n. 弹开；快速的轻打；轻打声
vt. 轻弹；忽然摇动；轻轻拂去
vi. 轻弹；忽然摇动；轻轻拂去"
hush,"vt. 安静；肃静；缄默
n. 安静；肃静；沉默
vi. 沉默；安静下来
int. 嘘；别作声"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
condemn,vt. 谴责；判刑，定罪；声讨
controversial,adj. 有争议的；有争论的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
element,n. 元素；要素；原理；成分；自然环境
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
disinfect,vt. 将…消毒
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
drizzle,"n. 细雨，毛毛雨
vt. 下毛毛雨
vi. 下毛毛雨"
sake,n. 目的；利益；理由；日本米酒
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
analysis,n. 分析；分解；验定
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
compassion,n. 同情；怜悯
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
fluff,"n. 绒毛；错误；无价值的东西
vt. 念错；抖松；使…起毛
vi. 起毛；出错；变松"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
transaction,n. 交易；事务；办理；会报，学报
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
prohibit,vt. 阻止，禁止
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
receive,"vt. 收到；接待；接纳
vi. 接收"
everlasting,adj. 永恒的；接连不断的
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
splendor,n. 光彩；壮丽；显赫
splendour,n. 显赫（等于splendor）；光彩壮丽
underestimate,"n. 低估
vt. 低估；看轻"
enclose,vt. 围绕；装入；放入封套
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
eliminate,vt. 消除；排除
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
daze,"n. 迷乱，眼花缭乱
vt. 使茫然；使眼花缭乱；使晕眩"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
eradicate,vt. 根除，根绝；消灭
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
assess,vt. 评定；估价；对…征税
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
acquaint,vt. 使熟悉；使认识
synthesize,"vt. 合成；综合
vi. 合成；综合"
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
maltreat,vt. 虐待；滥用；粗暴对待
trot,"n. （人）慢跑；马小跑的步态；小跑的马蹄声；刚学步的小孩；老太婆；腹泻；（学生作弊用的）译文对照本
vi. （马）小跑；（人）慢跑；快步走
vt. 使小跑；使快步走"
imminent,adj. 即将来临的；迫近的
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
maintain,vt. 维持；继续；维修；主张；供养
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
execute,vt. 实行；执行；处死
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
astound,vt. 使惊骇；使震惊
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
detriment,n. 损害；伤害；损害物
digital,"n. 数字；键
adj. 数字的；手指的"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
fastidious,adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
thrash,"n. 打谷；逆风浪行进；踢水动作
vt. 打；使逆行
vi. 打谷；白忙；猛烈摆动"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
falter,"n. 踌躇；支吾；颤抖
vi. 支吾；蹒跚地走
vt. 支吾地说；结巴地讲出"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
aspect,n. 方面；方向；形势；外貌
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
faith,n. 信仰；信念；信任；忠实
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
hereditary,"n. 遗传类
adj. 遗传的；世袭的；世代相传的"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
picturesque,adj. 独特的；生动的；别致的；图画般的
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
monopolize,vt. 垄断；独占；拥有…的专卖权
capacity,n. 能力；容量；资格，地位；生产力
vigor,n.  活力，精力
vigour,n. 活力；气势
inequality,n. 不平等；不同；不平均
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
gregarious,adj. 社交的；群居的
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
worth,"n. 价值；财产
adj. 值…的"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
intend,"vi. 有打算
vt. 打算；想要；意指"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
uphold,vt. 支撑；鼓励；赞成；举起
deport,vt. 驱逐出境；举止；放逐
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
ignore,vt. 驳回诉讼；忽视；不理睬
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
accordance,n. 一致；和谐
anonymous,adj. 匿名的，无名的；无个性特征的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
